#Classification	SRR20002442_bracken_C.kreport
k__Bacteria	2302825
k__Bacteria|p__Proteobacteria	2211125
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2040989
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	138798
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	31231
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	70
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	25
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	8
k__Bacteria|p__Proteobacteria|c__Oligoflexia	2
k__Bacteria|p__Actinobacteria	66247
k__Bacteria|p__Actinobacteria|c__Actinomycetia	65848
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	396
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2
k__Bacteria|p__Firmicutes	22138
k__Bacteria|p__Firmicutes|c__Bacilli	21348
k__Bacteria|p__Firmicutes|c__Clostridia	645
k__Bacteria|p__Firmicutes|c__Negativicutes	94
k__Bacteria|p__Firmicutes|c__Tissierellia	40
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	9
k__Bacteria|p__Deinococcus-Thermus	397
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	397
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	2
k__Bacteria|p__Bacteroidetes	2452
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1397
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	998
k__Bacteria|p__Bacteroidetes|c__Cytophagia	33
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	22
k__Bacteria|p__Chlamydiae	218
k__Bacteria|p__Chlamydiae|c__Chlamydiia	218
k__Bacteria|p__Verrucomicrobia	40
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	36
k__Bacteria|p__Verrucomicrobia|c__Opitutae	4
k__Bacteria|p__Planctomycetes	32
k__Bacteria|p__Planctomycetes|c__Planctomycetia	32
k__Bacteria|p__Fusobacteria	148
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	148
k__Bacteria|p__Candidatus_Saccharibacteria	16
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	16
k__Bacteria|p__Spirochaetes	3
k__Bacteria|p__Spirochaetes|c__Spirochaetia	3
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Synergistetes|c__Synergistia	3
k__Eukaryota	7114
k__Eukaryota|k__Fungi	4725
k__Eukaryota|k__Fungi|p__Basidiomycota	4594
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	4438
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	22
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	134
k__Eukaryota|k__Fungi|p__Ascomycota	131
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	46
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	44
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	40
k__Eukaryota|k__Metazoa	1266
k__Eukaryota|k__Metazoa|p__Chordata	1266
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1266
k__Eukaryota|k__Viridiplantae	1106
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1106
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1106
k__Eukaryota|p__Apicomplexa	16
k__Eukaryota|p__Apicomplexa|c__Conoidasida	16
k__Viruses	217
k__Viruses|k__Heunggongvirae	217
k__Viruses|k__Heunggongvirae|p__Uroviricota	217
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	217
