name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Stutzerimonas stutzeri	139027	S	29960	483695	513655	0.18018
Stutzerimonas stutzeri_AO	139038	S	23205	291900	315105	0.11053
Stutzerimonas stutzeri_G	139046	S	1740	18228	19968	0.00700
Stutzerimonas stutzeri_U	139055	S	642	37096	37738	0.01324
Stutzerimonas frequens	139002	S	619	4408	5027	0.00176
Stutzerimonas stutzeri_AC	139030	S	460	4518	4978	0.00175
Stutzerimonas sp003488145	139015	S	440	11239	11679	0.00410
Stutzerimonas songnenensis	139012	S	272	1034	1306	0.00046
Stutzerimonas stutzeri_AN	139037	S	234	601	835	0.00029
Stutzerimonas balearica	138998	S	197	2832	3029	0.00106
Stutzerimonas stutzeri_B	139042	S	193	3026	3219	0.00113
Stutzerimonas stutzeri_C	139043	S	183	2008	2191	0.00077
Stutzerimonas stutzeri_AE	139032	S	96	799	895	0.00031
Stutzerimonas sp004010935	139018	S	77	488	565	0.00020
Stutzerimonas zhaodongensis	139059	S	76	50	126	0.00004
Stutzerimonas stutzeri_O	139049	S	29	111	140	0.00005
Stutzerimonas stutzeri_AD	139031	S	24	1701	1725	0.00061
Stutzerimonas sp002692525	139013	S	16	611	627	0.00022
Stutzerimonas marianensis	139006	S	9	39	48	0.00002
Stutzerimonas stutzeri_AF	139033	S	8	96	104	0.00004
Stutzerimonas oligotrophica	139009	S	6	28	34	0.00001
Stutzerimonas sp007713455	139020	S	4	219	223	0.00008
Stutzerimonas lopnurensis	139005	S	3	8	11	0.00000
Stutzerimonas stutzeri_H	139047	S	2	3	5	0.00000
Stutzerimonas stutzeri_N	139048	S	2	13	15	0.00001
Stutzerimonas stutzeri_AH	139034	S	1	10	11	0.00000
Stutzerimonas azotifigens_A	138997	S	1	4	5	0.00000
Stutzerimonas kunmingensis	139004	S	1	53	54	0.00002
Pseudomonas aeruginosa	138123	S	69478	842775	912253	0.32000
Pseudomonas paraeruginosa	138137	S	830	6927	7757	0.00272
Pseudomonas knackmussii	138128	S	75	908	983	0.00034
Pseudomonas citronellolis_A	138125	S	3	13	16	0.00001
Pseudomonas pseudonitroreducens	138138	S	1	9	10	0.00000
Pseudomonas nitroreducens_B	138134	S	1	6	7	0.00000
Pseudomonas_E alcaligenes	138170	S	873	9776	10649	0.00374
Pseudomonas_E cremoris	138265	S	431	1658	2089	0.00073
Pseudomonas_E benzenivorans	138212	S	332	2180	2512	0.00088
Pseudomonas_E veronii	138942	S	315	3423	3738	0.00131
Pseudomonas_E chengduensis	138244	S	131	7868	7999	0.00281
Pseudomonas_E putida_H	138523	S	126	3133	3259	0.00114
Pseudomonas_E aylmerensis	138202	S	102	490	592	0.00021
Pseudomonas_E fluorescens	138296	S	71	496	567	0.00020
Pseudomonas_E sp000282515	138581	S	62	407	469	0.00016
Pseudomonas_E guguanensis	138381	S	60	452	512	0.00018
Pseudomonas_E ceruminis	138242	S	59	845	904	0.00032
Pseudomonas_E extremaustralis	138286	S	59	359	418	0.00015
Pseudomonas_E helleri	138386	S	53	82	135	0.00005
Pseudomonas_E palmensis	138476	S	52	141	193	0.00007
Pseudomonas_E alcaliphila	138174	S	50	258	308	0.00011
Pseudomonas_E sihuiensis	138562	S	46	3021	3067	0.00108
Pseudomonas_E indoloxydans	138391	S	46	3223	3269	0.00115
Pseudomonas_E mendocina_D	138447	S	43	592	635	0.00022
Pseudomonas_E fluvialis	138340	S	41	102	143	0.00005
Pseudomonas_E asiatica	138196	S	40	697	737	0.00026
Pseudomonas_E alcaliphila_B	138175	S	36	1267	1303	0.00046
Pseudomonas_E fulva	138356	S	35	66	101	0.00004
Pseudomonas_E sp014851865	138730	S	33	87	120	0.00004
Pseudomonas_E sp002282595	138637	S	28	752	780	0.00027
Pseudomonas_E chaetocerotis	138243	S	27	242	269	0.00009
Pseudomonas_E putida_E	138521	S	26	220	246	0.00009
Pseudomonas_E putida_AA	138513	S	22	356	378	0.00013
Pseudomonas_E sp002256055	138634	S	18	40	58	0.00002
Pseudomonas_E sp002354655	138642	S	16	186	202	0.00007
Pseudomonas_E sp943914515	138895	S	14	29	43	0.00002
Pseudomonas_E toyotomiensis	138926	S	14	190	204	0.00007
Pseudomonas_E fluorescens_AN	138301	S	13	56	69	0.00002
Pseudomonas_E rhizophila	138545	S	10	52	62	0.00002
Pseudomonas_E bharatica	138214	S	8	135	143	0.00005
Pseudomonas_E putida_Y	138537	S	8	79	87	0.00003
Pseudomonas_E sp009834515	138704	S	6	67	73	0.00003
Pseudomonas_E arcuscaelestis	138190	S	6	30	36	0.00001
Pseudomonas_E peli	138487	S	6	15	21	0.00001
Pseudomonas_E sp013179515	138718	S	6	22	28	0.00001
Pseudomonas_E putida_P	138528	S	6	26	32	0.00001
Pseudomonas_E putida_N	138527	S	6	74	80	0.00003
Pseudomonas_E oleovorans	138468	S	6	303	309	0.00011
Pseudomonas_E poae_C	138499	S	5	34	39	0.00001
Pseudomonas_E shahriarae	138559	S	4	24	28	0.00001
Pseudomonas_E sp002874965	138653	S	4	29	33	0.00001
Pseudomonas_E kielensis	138407	S	4	17	21	0.00001
Pseudomonas_E sp000935045	138597	S	4	19	23	0.00001
Pseudomonas_E sp016650635	138736	S	3	42	45	0.00002
Pseudomonas_E putida_AB	138514	S	3	4	7	0.00000
Pseudomonas_E rhodesiae	138547	S	3	36	39	0.00001
Pseudomonas_E sp030690725	138845	S	2	12	14	0.00000
Pseudomonas_E sivasensis	138566	S	1	3	4	0.00000
Pseudomonas_E alcaligenes_C	138173	S	1	4	5	0.00000
Pseudomonas_E capeferrum_A	138233	S	1	1	2	0.00000
Pseudomonas_E sp014851565	138727	S	1	4	5	0.00000
Pseudomonas_E faucium	138291	S	1	4	5	0.00000
Pseudomonas_E alkylphenolica	138176	S	1	7	8	0.00000
Pseudomonas_E chengduensis_A	138245	S	1	45	46	0.00002
Pseudomonas_E sp023431055	138782	S	1	11	12	0.00000
Pseudomonas_F otitidis	138963	S	175	933	1108	0.00039
Pseudomonas_F tohonis	138977	S	84	637	721	0.00025
Thiopseudomonas sp012719655	139069	S	72	46	118	0.00004
Pseudomonas_O kuykendallii	138991	S	13	60	73	0.00003
Halopseudomonas yangmingensis	138122	S	6	30	36	0.00001
Halopseudomonas formosensis	138088	S	2	11	13	0.00000
Halopseudomonas sp030603065	138118	S	1	1	2	0.00000
Pseudomonas_B oryzihabitans_B	138155	S	2	9	11	0.00000
Acinetobacter bereziniae	137066	S	497	7318	7815	0.00274
Acinetobacter johnsonii	137103	S	448	5573	6021	0.00211
Acinetobacter schindleri	137156	S	134	1398	1532	0.00054
Acinetobacter ihumii	137101	S	44	288	332	0.00012
Acinetobacter sp030053775	137228	S	37	598	635	0.00022
Acinetobacter rongchengensis	137153	S	31	388	419	0.00015
Acinetobacter sp000369405	137166	S	28	315	343	0.00012
Acinetobacter gerneri	137092	S	26	117	143	0.00005
Acinetobacter ursingii	137253	S	25	331	356	0.00012
Acinetobacter sp002135205	137180	S	22	83	105	0.00004
Acinetobacter sp000400715	137171	S	19	281	300	0.00011
Acinetobacter lwoffii_D	137114	S	17	3167	3184	0.00112
Acinetobacter pragensis	137145	S	11	11	22	0.00001
Acinetobacter piscicola	137136	S	10	45	55	0.00002
Acinetobacter sp000369505	137167	S	8	36	44	0.00002
Acinetobacter indicus	137102	S	7	81	88	0.00003
Acinetobacter junii	137104	S	5	178	183	0.00006
Acinetobacter sp002165305	137191	S	4	86	90	0.00003
Acinetobacter albensis	137058	S	4	3	7	0.00000
Acinetobacter sp000369525	137168	S	4	83	87	0.00003
Acinetobacter geminorum	137091	S	4	65	69	0.00002
Acinetobacter sp001626925	137176	S	3	14	17	0.00001
Acinetobacter bereziniae_A	137067	S	2	2	4	0.00000
Acinetobacter variabilis	137254	S	2	32	34	0.00001
Acinetobacter parvus	137134	S	2	27	29	0.00001
Acinetobacter nosocomialis	137131	S	2	14	16	0.00001
Acinetobacter brisouii_A	137073	S	1	4	5	0.00000
Acinetobacter nematophilus	137130	S	1	1	2	0.00000
Acinetobacter nectaris	137129	S	1	1	2	0.00000
Moraxella_A osloensis	137341	S	14	631	645	0.00023
Moraxella_A sp002478835	137342	S	2	68	70	0.00002
Moraxella_A cinereus	137339	S	1	26	27	0.00001
Moraxella_A sp902506215	137343	S	1	39	40	0.00001
Moraxella_C lincolnii	137348	S	105	268	373	0.00013
Psychrobacter sanguinis	137406	S	3	39	42	0.00001
Psychrobacter alimentarius_A	137360	S	1	7	8	0.00000
Perlucidibaca sp002943415	137353	S	1	34	35	0.00001
Alkanindiges illinoisensis_A	137268	S	10	39	49	0.00002
Alkanindiges hydrocarboniclasticus	137266	S	1	6	7	0.00000
Cellvibrio sp004172865	136265	S	6427	2212	8639	0.00303
Vreelandella stevensii	136926	S	169	3124	3293	0.00116
