name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Burkholderia contaminans	126608	S	14	242	256	0.06110
Paraburkholderia agricolaris	127963	S	3	16	19	0.00453
Paraburkholderia sp013426895	128067	S	2	6	8	0.00191
Paraburkholderia sp013409255	128066	S	1	7	8	0.00191
Aquabacterium parvum	126468	S	20	49	69	0.01647
Cupriavidus pauculus	126932	S	4	11	15	0.00358
Kinneretia sp020535565	127486	S	3	8	11	0.00263
Caballeronia udeis	126787	S	3	1	4	0.00095
Hylemonella sp019745555	127248	S	2	7	9	0.00215
Caldimonas aquatica	126790	S	1	1	2	0.00048
Hydrogenophilus thermoluteolus	130841	S	1	5	6	0.00143
CAJPTP01 sp905373555	130305	S	1	0	1	0.00024
Ga0077527 sp019751125	131284	S	1	0	1	0.00024
Pseudomonas aeruginosa	138123	S	59	334	393	0.09379
Stutzerimonas stutzeri	139027	S	25	172	197	0.04702
Stutzerimonas stutzeri_AO	139038	S	5	24	29	0.00692
Stutzerimonas balearica	138998	S	1	5	6	0.00143
Acinetobacter junii	137104	S	3	29	32	0.00764
Acinetobacter johnsonii	137103	S	1	4	5	0.00119
Moraxella_A sp946222995	137347	S	1	2	3	0.00072
Psychrobacter celer	137365	S	1	0	1	0.00024
Escherichia ruysiae	133045	S	2	35	37	0.00883
Leclercia tamurae	133191	S	1	9	10	0.00239
Aeromonas caviae	132195	S	2	5	7	0.00167
Pseudoxanthomonas taiwanensis	141040	S	1	1	2	0.00048
UBA4765 sp002365175	120294	S	4	0	4	0.00095
Hyphomicrobium_C sp019744875	118815	S	1	2	3	0.00072
Methylocella tundrae	118375	S	1	0	1	0.00024
Paracoccus aeridis	121802	S	3	4	7	0.00167
Paracoccus haematequi_A	121832	S	2	3	5	0.00119
Paracoccus acridae	121801	S	1	1	2	0.00048
Brevundimonas sp023456105	114452	S	3	4	7	0.00167
Telmatospirillum sp031291415	122951	S	1	0	1	0.00024
Lentibacillus lipolyticus	54428	S	378	1294	1672	0.39905
Allobacillus salarius	54357	S	1	6	7	0.00167
Paenibacillus campinasensis	56630	S	13	2	15	0.00358
Anoxybacillus_A tepidamans	53446	S	6	4	10	0.00239
Staphylococcus epidermidis	57090	S	3	22	25	0.00597
Staphylococcus pettenkoferi	57111	S	2	0	2	0.00048
Staphylococcus cohnii	57081	S	1	1	2	0.00048
Staphylococcus hominis	57097	S	1	1	2	0.00048
Streptococcus sp000187445	56205	S	2	10	12	0.00286
Effusibacillus pohliae	57200	S	3	0	3	0.00072
Cutibacterium acnes	48418	S	68	390	458	0.10931
Cutibacterium namnetense	48422	S	8	3	11	0.00263
Cutibacterium granulosum	48420	S	6	2	8	0.00191
Corynebacterium sp900539985	46203	S	3	44	47	0.01122
Corynebacterium tuberculostearicum_D	46250	S	1	14	15	0.00358
Corynebacterium coyleae	46023	S	1	1	2	0.00048
Lawsonella clevelandensis_A	46365	S	4	4	8	0.00191
Lawsonella clevelandensis	46364	S	2	1	3	0.00072
Gordonia hongkongensis	46306	S	1	1	2	0.00048
Pseudonocardia ammonioxydans	47448	S	3	1	4	0.00095
UBA3913 sp002391425	44759	S	22	5	27	0.00644
Microbacterium murale	44204	S	2	6	8	0.00191
Microbacterium sediminis	44243	S	1	1	2	0.00048
Varibaculum cambriense_A	42678	S	3	1	4	0.00095
Varibaculum cambriense	42677	S	2	2	4	0.00095
Pauljensenia radingae_A	42605	S	3	0	3	0.00072
Pauljensenia turicensis_A	42648	S	2	1	3	0.00072
Mobiluncus sp949769255	42575	S	1	3	4	0.00095
Actinotignum schaalii_C	42483	S	1	0	1	0.00024
Dermacoccus nishinomiyaensis	43368	S	5	6	11	0.00263
Barrientosiimonas humi	43361	S	2	0	2	0.00048
Bifidobacterium subtile	42878	S	1	3	4	0.00095
Arthrobacter_D frigidicola	45019	S	2	19	21	0.00501
Actinospica acidithermotolerans	48778	S	36	9	45	0.01074
Olegusella massiliensis	50538	S	3	7	10	0.00239
Prevotella sp900548585	77806	S	9	3	12	0.00286
Prevotella disiens	77364	S	5	25	30	0.00716
Prevotella timonensis	78128	S	2	10	12	0.00286
Prevotella bivia	77340	S	2	15	17	0.00406
Prevotella timonensis_A	78129	S	1	6	7	0.00167
Prevotella sp001552765	77434	S	1	2	3	0.00072
Porphyromonas_A sp947253195	80831	S	4	19	23	0.00549
Thermoflavifilum sp014961315	83931	S	8	0	8	0.00191
Chryseobacterium viscerum	89215	S	1	0	1	0.00024
BPGX01 sp026414605	76618	S	3	1	4	0.00095
Sphingobacterium sp000814685	90242	S	1	0	1	0.00024
NICIL-2 sp002898675	90773	S	9	14	23	0.00549
Allomeiothermus silvanus	98864	S	31	21	52	0.01241
Allomeiothermus sp003226535	98865	S	24	8	32	0.00764
Meiothermus ruber	98874	S	8	2	10	0.00239
Meiothermus rufus	98875	S	1	0	1	0.00024
Anaerococcus lactolyticus	71362	S	2	13	15	0.00358
Anaerococcus sp027669155	71377	S	1	7	8	0.00191
Anaerococcus sp946221015	71398	S	1	1	2	0.00048
Anaerococcus prevotii	71370	S	1	8	9	0.00215
Fenollaria massiliensis	71428	S	3	16	19	0.00453
Finegoldia magna_H	71437	S	2	9	11	0.00263
Peptoniphilus_A lacrimalis	71526	S	2	19	21	0.00501
Aedoeadaptatus coxii	71349	S	2	4	6	0.00143
Aedoeadaptatus urinae	71357	S	1	4	5	0.00119
Peptostreptococcus anaerobius	70059	S	13	23	36	0.00859
SFGY01 sp004556455	70188	S	2	13	15	0.00358
Clostridium_A leptum	64444	S	1	3	4	0.00095
UBA4285 sp900542465	63748	S	1	1	2	0.00048
ISDg sp944384025	61986	S	1	0	1	0.00024
Jonquetella anthropi	143200	S	44	17	61	0.01456
Dialister sp900541485	72927	S	3	8	11	0.00263
Anaeroglobus geminatus	72949	S	5	1	6	0.00143
Stercorousia sp900556295	98283	S	8	47	55	0.01313
Pyrinomonas sp937135995	39495	S	1	1	2	0.00048
Thermorudis peleae	94888	S	1	0	1	0.00024
Desulfobulbus alkaliphilus	99862	S	1	1	2	0.00048
QWPN01 sp003488325	112835	S	1	0	1	0.00024
