#mpa_vOct22_CHOCOPhlAnSGB_202212
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5824448.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vOct22_CHOCOPhlAnSGB_202212 --bowtie2out /localscratch/ronj2303.5824448.0/SRR20002425.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5824448.0/SRR20002425_profile.txt /localscratch/ronj2303.5824448.0/all_reads.fastq
#32255273 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	86.02293	
k__Bacteria	2	13.957085105855134	
k__Eukaryota	2759	0.01998581370788316	
k__Bacteria|p__Proteobacteria	2|1224	12.489885414993857	
k__Bacteria|p__Actinobacteria	2|201174	1.461506829875739	
k__Eukaryota|p__Basidiomycota	2759|5204	0.01998581370788316	
k__Bacteria|p__Firmicutes	2|1239	0.005692860985538018	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	10.92436122333473	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.5091868119036442	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.461506829875739	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.05633737975548265	
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes	2759|5204|1538075	0.01998581370788316	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.005692860985538018	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	10.56332090211859	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.5091868119036442	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	1.0805366032353938	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	0.3610417189232323	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.04074595714471011	
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	2759|5204|1538075|162474	0.01998581370788316	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.015591422610772546	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.005692860985538018	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	10.56332090211859	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified	2|1224|28216|80840|	1.1036379060512476	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	2|201174|1760|85009|31957	1.0805366032353938	
