name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Gilliamella apis	1970738	S	790	1079	1869	0.13934
Gilliamella apicola	1196095	S	555	2476	3031	0.22597
Gilliamella sp. wkB7	3120264	S	151	731	882	0.06576
Gilliamella sp. ESL0441	2704654	S	1	5	6	0.00045
Frischella perrara	1267021	S	656	1648	2304	0.17177
Enterobacter sp. ECC-175	3116479	S	2	12	14	0.00104
Escherichia coli	562	S	1	519	520	0.03877
Snodgrassella alvi	1196083	S	519	1054	1573	0.11727
Commensalibacter melissae	2070537	S	48	76	124	0.00924
Bartonella apihabitans	2750929	S	24	22	46	0.00343
Lactobacillus apis	303541	S	972	488	1460	0.10885
Lactobacillus sp. IBH004	2879107	S	224	288	512	0.03817
Lactobacillus sp. wkB8	1545702	S	3	62	65	0.00485
Lactobacillus kullabergensis	1218493	S	89	150	239	0.01782
Lactobacillus helsingborgensis	1218494	S	45	460	505	0.03765
Lactobacillus panisapium	2012495	S	2	1	3	0.00022
Limosilactobacillus fermentum	1613	S	9	128	137	0.01021
Apilactobacillus kunkeei	148814	S	10	19	29	0.00216
Apilactobacillus apinorum	1218495	S	2	4	6	0.00045
Bombilactobacillus mellifer	1218492	S	3	4	7	0.00052
Bombilactobacillus bombi	1303590	S	1	1	2	0.00015
Caproicibacterium lactatifermentans	2666138	S	1	0	1	0.00007
Bifidobacterium coryneforme	1687	S	31	12	43	0.00321
Bifidobacterium asteroides	1684	S	9	0	9	0.00067
Apis mellifera filamentous virus	1100043	S	15	0	15	0.00112
