#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5578963.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.5578963.0/S-5-POLCOM-B.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5578963.0/S-5-POLCOM-B_profile.txt /localscratch/ronj2303.5578963.0/all_reads.fastq
#16619072 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	97.50098	
k__Bacteria	2	2.499015380929069	
k__Bacteria|p__Proteobacteria	2|1224	1.84804111661548	
k__Bacteria|p__Acidobacteria	2|57723	0.6108373283789494	
k__Bacteria|p__Actinobacteria	2|201174	0.03083859950527899	
k__Bacteria|p__Bacteroidota	2|976	0.009298336429360881	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	1.1013015840862315	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0.6108373283789494	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.5322877771225109	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.2144517554067376	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.03083859950527899	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.009298336429360881	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.6226181866877253	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2|57723|204432|204433	0.6108373283789494	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.5322877771225109	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.34361161605928986	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.2144517554067376	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2|1224|28211|204458	0.133944225599341	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2|201174|1760|85007	0.03083859950527899	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	2|976|117747|200666	0.009298336429360881	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.001127555739875196	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	0.6167020176749138	
