#mpa_vOct22_CHOCOPhlAnSGB_202212
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5525404.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vOct22_CHOCOPhlAnSGB_202212 --bowtie2out /localscratch/ronj2303.5525404.0/GQ8.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5525404.0/GQ8_profile.txt /localscratch/ronj2303.5525404.0/all_reads.fastq
#37936222 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	28.3165	
k__Bacteria	2	71.68350264015459	
k__Bacteria|p__Firmicutes	2|1239	56.21003079055557	
k__Bacteria|p__Actinobacteria	2|201174	11.575724403642194	
k__Bacteria|p__Bacteroidetes	2|976	1.7089992180936615	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	1.1526062073013095	
k__Bacteria|p__Fusobacteria	2|32066	0.6736457160608527	
k__Bacteria|p__Proteobacteria	2|1224	0.35215954342028744	
k__Bacteria|p__Spirochaetes	2|203691	0.00866653546919469	
k__Bacteria|p__Synergistetes	2|508458	0.0016630572612515865	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	35.78345829573032	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	13.527852557640468	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.668076664501452	
k__Bacteria|p__Firmicutes|c__CFGB1764	2|1239|	4.316343259624004	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.907640570790478	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.7819228453294906	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.6771860796219609	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.6879322381370355	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.6736457160608527	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.6411300792632786	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.40835224113990465	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.1465784261985881	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.1132384291206522	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.09956838516717471	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.09234985645131115	
k__Bacteria|p__Firmicutes|c__CFGB1872	2|1239|	0.06994876187626284	
k__Bacteria|p__Bacteroidetes|c__CFGB570	2|976|	0.028250468390484923	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.00866653546919469	
k__Bacteria|p__Firmicutes|c__CFGB1534	2|1239|	0.008143245899921561	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9314	2|95818|	0.0035555017309516672	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.0017060673628356792	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0016630572612515865	
k__Bacteria|p__Bacteroidetes|c__CFGB494	2|976|	0.001390659951218999	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.0010752525396023188	
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified	2|976|	0.00046594276716100476	
k__Bacteria|p__Firmicutes|c__CFGB14224	2|1239|	0.00013619865501629373	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	35.60632119235623	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	13.527852557640468	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	6.371530785368028	
k__Bacteria|p__Firmicutes|c__CFGB1764|o__OFGB1764	2|1239||	4.316343259624004	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.7547826697606124	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.7366547134122332	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.6771860796219609	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.6879322381370355	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	0.6736457160608527	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.6411300792632786	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	2|95818|2171982|2171984	0.37859641919397646	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.177137103374086	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.15285790102986566	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.1465784261985881	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.09871535148575687	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales	2|95818|2093818|2093825	0.09546808881615787	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.09234985645131115	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.0786009606449295	
k__Bacteria|p__Firmicutes|c__CFGB1872|o__OFGB1872	2|1239||	0.06994876187626284	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.06569793016970167	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.04754049895095052	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.04526813191725762	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanosyncoccales	2|95818|2171982|2171993	0.029755821945928167	
k__Bacteria|p__Bacteroidetes|c__CFGB570|o__OFGB570	2|976||	0.028250468390484923	
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.00866653546919469	
k__Bacteria|p__Firmicutes|c__CFGB1534|o__OFGB1534	2|1239||	0.008143245899921561	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	2|95818|2093818|2093819	0.004100296351016842	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9314|o__OFGB9314	2|95818||	0.0035555017309516672	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.0017060673628356792	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.0016630572612515865	
k__Bacteria|p__Bacteroidetes|c__CFGB494|o__OFGB494	2|976||	0.001390659951218999	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.0010752525396023188	
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified|o__Bacteroidetes_unclassified	2|976||	0.00046594276716100476	
k__Bacteria|p__Firmicutes|c__CFGB14224|o__OFGB14224	2|1239||	0.00013619865501629373	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	33.568990027119874	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	12.440686219899355	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	6.371530785368028	
