name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bifidobacterium longum	216816	S	20820	746419	767239	0.11686
Bifidobacterium pseudocatenulatum	28026	S	20554	369687	390241	0.05944
Bifidobacterium adolescentis	1680	S	7012	495682	502694	0.07657
Bifidobacterium breve	1685	S	3461	93173	96634	0.01472
Bifidobacterium bifidum	1681	S	1708	109755	111463	0.01698
Bifidobacterium pseudolongum	1694	S	71	1894	1965	0.00030
Bifidobacterium catenulatum	1686	S	24	635	659	0.00010
Bifidobacterium faecale	1454229	S	3	774	777	0.00012
Actinomyces sp. oral taxon 171	706438	S	1	20	21	0.00000
Actinomyces sp. oral taxon 169	712116	S	1	33	34	0.00001
Actinomyces oris	544580	S	1	54	55	0.00001
Schaalia odontolytica	1660	S	2	9	11	0.00000
Winkia neuii	33007	S	1	52	53	0.00001
Rothia mucilaginosa	43675	S	2	17	19	0.00000
Rothia dentocariosa	2047	S	1	11	12	0.00000
Lawsonella clevelandensis	1528099	S	1	4	5	0.00000
Cutibacterium acnes	1747	S	1	12	13	0.00000
Collinsella aerofaciens	74426	S	2263	150741	153004	0.02330
Collinsella sp. i05-0019-G5	3132705	S	67	3779	3846	0.00059
Eggerthella lenta	84112	S	772	16145	16917	0.00258
Gordonibacter pamelaeae	471189	S	29	407	436	0.00007
Adlercreutzia equolifaciens	446660	S	9	19	28	0.00000
Acidaminococcus intestini	187327	S	115033	1870422	1985455	0.30241
Phascolarctobacterium faecium	33025	S	2325	1020	3345	0.00051
Megasphaera elsdenii	907	S	192	11357	11549	0.00176
Flavonifractor plautii	292800	S	22626	241747	264373	0.04027
Ruthenibacterium lactatiformans	1550024	S	16744	160732	177476	0.02703
Pusillibacter faecalis	2714358	S	3360	72982	76342	0.01163
Oscillibacter sp. PEA192	2109687	S	233	22027	22260	0.00339
Oscillibacter hominis	2763056	S	68	1670	1738	0.00026
Faecalibacterium prausnitzii	853	S	51	1460	1511	0.00023
Faecalibacterium duncaniae	411483	S	2	394	396	0.00006
Dysosmobacter welbionis	2093857	S	19	1800	1819	0.00028
Ruminococcus sp. SR1/5	657323	S	7	227	234	0.00004
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	1	1	2	0.00000
Anaerotruncus colihominis	169435	S	7	151	158	0.00002
Pseudoflavonifractor gallinarum	2779352	S	6	155	161	0.00002
Lawsonibacter asaccharolyticus	2108523	S	5	58	63	0.00001
Eubacterium callanderi	53442	S	51	547	598	0.00009
Eubacterium limosum	1736	S	7	76	83	0.00001
Eubacterium ramulus	39490	S	2	9	11	0.00000
Eubacterium ventriosum	39496	S	2	28	30	0.00000
Clostridium sp. C45	3373596	S	297	18333	18630	0.00284
Clostridium sp. M62/1	411486	S	5	350	355	0.00005
Clostridium sp. SY8519	1042156	S	1	20	21	0.00000
Clostridium cellulovorans	1493	S	31	206	237	0.00004
Agathobaculum massiliense	3014267	S	14	1659	1673	0.00025
Intestinimonas butyriciproducens	1297617	S	11	176	187	0.00003
Massilistercora timonensis	2086584	S	2	169	171	0.00003
Enterocloster asparagiformis	333367	S	2474	11467	13941	0.00212
Enterocloster bolteae	208479	S	1361	9335	10696	0.00163
Enterocloster clostridioformis	1531	S	1	28	29	0.00000
Mediterraneibacter gnavus	33038	S	3610	108895	112505	0.01714
Mediterraneibacter glycyrrhizinilyticus	342942	S	194	12101	12295	0.00187
[Ruminococcus] torques	33039	S	99	2470	2569	0.00039
[Ruminococcus] lactaris	46228	S	1	4	5	0.00000
Blautia parvula	2877527	S	572	27245	27817	0.00424
Blautia hansenii	1322	S	17	679	696	0.00011
Blautia wexlerae	418240	S	9	392	401	0.00006
Blautia coccoides	1532	S	2	93	95	0.00001
Blautia hydrogenotrophica	53443	S	2	115	117	0.00002
Blautia producta	33035	S	1	44	45	0.00001
Blautia obeum	40520	S	1	17	18	0.00000
[Clostridium] scindens	29347	S	851	14621	15472	0.00236
[Clostridium] symbiosum	1512	S	128	181	309	0.00005
Anaerostipes caccae	105841	S	416	2167	2583	0.00039
Anaerostipes hadrus	649756	S	6	153	159	0.00002
Anaerostipes sp. PC18	3036926	S	2	19	21	0.00000
Anaerostipes rhamnosivorans	1229621	S	1	24	25	0.00000
Dorea formicigenerans	39486	S	507	14449	14956	0.00228
Dorea longicatena	88431	S	2	39	41	0.00001
Hungatella hathewayi	154046	S	375	2761	3136	0.00048
Wansuia hejianensis	2763667	S	39	555	594	0.00009
Roseburia intestinalis	166486	S	10	108	118	0.00002
Roseburia hominis	301301	S	9	280	289	0.00004
Roseburia rectibacter	2763062	S	5	13	18	0.00000
Roseburia faecis	301302	S	3	13	16	0.00000
Agathobacter rectalis	39491	S	12	281	293	0.00004
Simiaoa sunii	2763672	S	7	321	328	0.00005
Claveliimonas bilis	3028070	S	5	176	181	0.00003
Eshraghiella crossota	45851	S	2	3	5	0.00000
Sellimonas intestinalis	1653434	S	2	40	42	0.00001
Coprococcus catus	116085	S	1	11	12	0.00000
Coprococcus comes	410072	S	1	31	32	0.00000
Eisenbergiella porci	2652274	S	1	8	9	0.00000
Anaerobutyricum hallii	39488	S	1	10	11	0.00000
Wujia chipingensis	2763670	S	1	26	27	0.00000
Christensenella massiliensis	1805714	S	48	1396	1444	0.00022
Streptococcus gallolyticus	315405	S	1080	92858	93938	0.01431
Streptococcus thermophilus	1308	S	18	349	367	0.00006
Streptococcus pasteurianus	197614	S	5	2212	2217	0.00034
Streptococcus suis	1307	S	2	75	77	0.00001
Streptococcus parasanguinis	1318	S	2	46	48	0.00001
Streptococcus vestibularis	1343	S	1	9	10	0.00000
Lactococcus cremoris	1359	S	17	1839	1856	0.00028
Lactococcus lactis	1358	S	5	1837	1842	0.00028
Lactococcus sp.	44273	S	1	555	556	0.00008
Enterococcus avium	33945	S	3804	169879	173683	0.02645
Enterococcus dispar	44009	S	206	9931	10137	0.00154
Enterococcus durans	53345	S	96	4937	5033	0.00077
Enterococcus raffinosus	71452	S	50	1198	1248	0.00019
Enterococcus faecium	1352	S	11	2720	2731	0.00042
Enterococcus faecalis	1351	S	8	1247	1255	0.00019
Enterococcus gallinarum	1353	S	3	778	781	0.00012
Enterococcus saigonensis	1805431	S	2	239	241	0.00004
Enterococcus gilvus	160453	S	2	19	21	0.00000
