name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
CAG-170 sp000432135	66554	S	671	17306	17977	0.00286
CAG-170 sp003516765	66559	S	65	786	851	0.00014
CAG-170 sp900549635	66565	S	63	9122	9185	0.00146
CAG-170 sp000436735	66555	S	38	243	281	0.00004
CAG-170 sp900545925	66563	S	29	1274	1303	0.00021
CAG-170 sp937967235	66591	S	27	899	926	0.00015
CAG-170 sp900548625	66564	S	13	421	434	0.00007
CAG-170 sp016296635	66561	S	10	66	76	0.00001
CAG-170 sp934613505	66572	S	8	81	89	0.00001
CAG-170 sp002404795	66557	S	8	81	89	0.00001
CAG-170 sp900553545	66566	S	7	123	130	0.00002
CAG-170 sp934661135	66583	S	5	103	108	0.00002
CAG-170 sp934655875	66581	S	3	22	25	0.00000
CAG-170 sp902796245	66569	S	3	35	38	0.00001
CAG-170 sp900555665	66567	S	3	40	43	0.00001
CAG-170 sp905214155	66571	S	2	9	11	0.00000
CAG-170 sp902803075	66570	S	1	6	7	0.00000
CAG-170 sp934668295	66586	S	1	5	6	0.00000
CAG-170 sp934646185	66580	S	1	11	12	0.00000
Vescimonas sp000435975	67954	S	902	25682	26584	0.00423
Vescimonas sp900545585	67986	S	372	18491	18863	0.00300
Vescimonas coprocola	67951	S	58	12948	13006	0.00207
Vescimonas cirricatena	67950	S	53	12100	12153	0.00193
Vescimonas sp900551995	67992	S	8	374	382	0.00006
Vescimonas sp900552725	67994	S	6	129	135	0.00002
Vescimonas sp003487665	67958	S	6	197	203	0.00003
Vescimonas sp900757415	67999	S	3	102	105	0.00002
Vescimonas sp900550585	67989	S	2	65	67	0.00001
Vescimonas sp945877515	68024	S	2	53	55	0.00001
Vescimonas sp934589145	68009	S	2	22	24	0.00000
Vescimonas sp934561335	68003	S	2	119	121	0.00002
Vescimonas sp900550615	67990	S	2	11	13	0.00000
Faecousia sp000435995	66951	S	786	14423	15209	0.00242
Faecousia sp003525905	66958	S	191	10399	10590	0.00169
Faecousia sp958402445	67226	S	146	873	1019	0.00016
Faecousia sp900544705	67114	S	102	1529	1631	0.00026
Faecousia sp900544975	67116	S	46	308	354	0.00006
Faecousia sp000434635	66950	S	21	499	520	0.00008
Faecousia sp900763965	67132	S	6	80	86	0.00001
Faecousia sp900546075	67117	S	5	130	135	0.00002
Faecousia sp017936985	67073	S	4	63	67	0.00001
Faecousia sp021771675	67086	S	4	237	241	0.00004
Faecousia sp934667815	67173	S	4	7	11	0.00000
Faecousia sp902475855	67138	S	4	101	105	0.00002
Faecousia sp934615645	67166	S	3	18	21	0.00000
Faecousia sp934667865	67174	S	2	7	9	0.00000
Faecousia sp902477055	67139	S	2	7	9	0.00000
Faecousia sp958436045	67227	S	2	11	13	0.00000
Faecousia sp002436765	66955	S	1	8	9	0.00000
Faecousia sp022786965	67093	S	1	16	17	0.00000
Faecousia sp934569215	67155	S	1	21	22	0.00000
Faecousia sp949293985	67224	S	1	17	18	0.00000
Faecousia gallistercoris	66947	S	1	8	9	0.00000
