#mpa_vOct22_CHOCOPhlAnSGB_202212
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.6867316.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vOct22_CHOCOPhlAnSGB_202212 --bowtie2out /localscratch/ronj2303.6867316.0/SRR19064374.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.6867316.0/SRR19064374_profile.txt /localscratch/ronj2303.6867316.0/all_reads.fastq
#36243372 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	21.80043	
k__Bacteria	2	78.1459834201699	
k__Archaea	2157	0.05358234246055439	
k__Bacteria|p__Firmicutes	2|1239	50.4692412074138	
k__Bacteria|p__Bacteroidetes	2|976	23.692630736281608	
k__Bacteria|p__Actinobacteria	2|201174	2.908210570885922	
k__Bacteria|p__Proteobacteria	2|1224	1.0170635523087719	
k__Bacteria|p__Synergistetes	2|508458	0.05727336196455055	
k__Archaea|p__Thaumarchaeota	2157|651137	0.05358234246055439	
k__Bacteria|p__Verrucomicrobia	2|74201	0.0015561713586763463	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	36.22881876360205	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.692630736281608	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.6080263048522783	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.76966440022427	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.4695262398113516	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.4386843310745703	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.7655190091201184	
k__Bacteria|p__Firmicutes|c__CFGB75985	2|1239|	0.6514493025421694	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.4315599435742287	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.41423873975780606	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.3858601173425475	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.21560402276414845	
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.09261174573268326	
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.06768954412413293	
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.06679024911786267	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.05727336196455055	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.05358234246055439	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.042032266597413874	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.036722516082131264	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.028675780765156592	
k__Bacteria|p__Firmicutes|c__CFGB75922	2|1239|	0.008883470670634821	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.006920661569992796	
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.006467104088569539	
k__Bacteria|p__Firmicutes|c__CFGB76779	2|1239|	0.0021583080150486007	
