#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.6818276.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.6818276.0/SRR19064646.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.6818276.0/SRR19064646_profile.txt /localscratch/ronj2303.6818276.0/all_reads.fastq
#65268946 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	17.9329	
k__Bacteria	2	82.06709538820888	
k__Bacteria|p__Firmicutes	2|1239	41.36775773336338	
k__Bacteria|p__Bacteroidota	2|976	37.66200983439927	
k__Bacteria|p__Proteobacteria	2|1224	1.6050928717312056	
k__Bacteria|p__Actinobacteria	2|201174	1.3742381324041741	
k__Bacteria|p__Bacillota	2|1239	0.05799681631084721	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	37.66154205195556	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.7527479897536709	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.0432861568321443	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.9605789380999072	
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.6818216351947782	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.6445139336312984	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.4150543349258664	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.33095197557202993	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.18848349797809935	
k__Bacteria|p__Firmicutes|c__CFGB11257	2|1239|	0.0817224135875784	
k__Bacteria|p__Bacillota|c__Clostridia	2|1239|186801	0.05799681631084721	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.0569709776184946	
k__Bacteria|p__Firmicutes|c__CFGB45628	2|1239|	0.008576011468067827	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.00045957573417396966	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	37.66154205195556	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.7527479897536709	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.033405278547404	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.9605789380999072	
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.6818216351947782	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.6445139336312984	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.4150543349258664	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.33095197557202993	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.2792579121869972	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.18848349797809935	
k__Bacteria|p__Firmicutes|c__CFGB11257|o__OFGB11257	2|1239||	0.0817224135875784	
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.05799681631084721	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.0569709776184946	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.009880878284740349	
k__Bacteria|p__Firmicutes|c__CFGB45628|o__OFGB45628	2|1239||	0.008576011468067827	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.00045957573417396966	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	33.50743699075705	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	24.624552032904088	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	12.158010393896058	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.7527479897536709	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.0527895264780986	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.033405278547404	
