#Classification	GQ52_bracken_P.kreport
k__Bacteria	36642029
k__Bacteria|p__Bacteroidetes	25647438
k__Bacteria|p__Ignavibacteriae	118
k__Bacteria|p__Chlorobi	33
k__Bacteria|p__Balneolaeota	2
k__Bacteria|p__Fibrobacteres	15
k__Bacteria|p__Firmicutes	9099872
k__Bacteria|p__Actinobacteria	361210
k__Bacteria|p__Cyanobacteria	254
k__Bacteria|p__Tenericutes	169
k__Bacteria|p__Deinococcus-Thermus	65
k__Bacteria|p__Chloroflexi	56
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Verrucomicrobia	1155704
k__Bacteria|p__Planctomycetes	85
k__Bacteria|p__Chlamydiae	9
k__Bacteria|p__Kiritimatiellaeota	3
k__Bacteria|p__Candidatus_Omnitrophica	2
k__Bacteria|p__Proteobacteria	374307
k__Bacteria|p__Spirochaetes	2001
k__Bacteria|p__Fusobacteria	283
k__Bacteria|p__Candidatus_Saccharibacteria	190
k__Bacteria|p__Acidobacteria	80
k__Bacteria|p__Synergistetes	38
k__Bacteria|p__Deferribacteres	16
k__Bacteria|p__Thermotogae	16
k__Bacteria|p__Atribacterota	11
k__Bacteria|p__Calditrichaeota	10
k__Bacteria|p__Elusimicrobia	10
k__Bacteria|p__Aquificae	8
k__Bacteria|p__Nitrospirae	7
k__Bacteria|p__Chrysiogenetes	2
k__Bacteria|p__Dictyoglomi	2
k__Bacteria|p__Thermodesulfobacteria	1
k__Eukaryota	4528
k__Eukaryota|k__Viridiplantae	3261
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3244
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	16
k__Eukaryota|k__Metazoa	1181
k__Eukaryota|k__Metazoa|p__Chordata	1181
k__Eukaryota|k__Fungi	61
k__Eukaryota|k__Fungi|p__Ascomycota	60
k__Eukaryota|k__Fungi|p__Basidiomycota	1
k__Eukaryota|p__Apicomplexa	21
k__Eukaryota|p__Cercozoa	1
k__Eukaryota|p__Euglenozoa	3
k__Archaea	152
k__Archaea|p__Euryarchaeota	134
k__Archaea|p__Crenarchaeota	6
k__Archaea|p__Thaumarchaeota	4
k__Archaea|p__Candidatus_Thermoplasmatota	8
k__Viruses	7723
k__Viruses|k__Heunggongvirae	7723
k__Viruses|k__Heunggongvirae|p__Uroviricota	7723
