#Classification	GQ41_bracken_P.kreport
k__Bacteria	9661331
k__Bacteria|p__Firmicutes	5981715
k__Bacteria|p__Actinobacteria	101294
k__Bacteria|p__Bacteroidetes	3508774
k__Bacteria|p__Proteobacteria	67177
k__Bacteria|p__Verrucomicrobia	2198
k__Bacteria|p__Spirochaetes	156
k__Bacteria|p__Fusobacteria	5
k__Bacteria|p__Synergistetes	8
k__Eukaryota	3478
k__Eukaryota|k__Fungi	2547
k__Eukaryota|k__Fungi|p__Ascomycota	2547
k__Eukaryota|k__Viridiplantae	931
k__Eukaryota|k__Viridiplantae|p__Streptophyta	931
k__Viruses	95391
k__Viruses|k__Heunggongvirae	95391
k__Viruses|k__Heunggongvirae|p__Uroviricota	95391
