#Classification	GQ49_bracken_O.kreport
k__Bacteria	22384464
k__Bacteria|p__Bacteroidetes	13117569
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	13115616
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	13115616
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1953
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1953
k__Bacteria|p__Firmicutes	7142327
k__Bacteria|p__Firmicutes|c__Clostridia	5105747
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	5105747
k__Bacteria|p__Firmicutes|c__Negativicutes	1517073
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	1025758
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	490461
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	853
k__Bacteria|p__Firmicutes|c__Bacilli	299327
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	298998
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	329
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	219416
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	219416
k__Bacteria|p__Firmicutes|c__Tissierellia	761
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	761
k__Bacteria|p__Actinobacteria	1232456
k__Bacteria|p__Actinobacteria|c__Actinomycetia	826885
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	815422
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	5451
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	5181
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	662
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	167
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	405570
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	348397
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	57173
k__Bacteria|p__Tenericutes	216
k__Bacteria|p__Tenericutes|c__Mollicutes	216
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	216
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	1
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	1
k__Bacteria|p__Verrucomicrobia	494990
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	494990
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	494990
k__Bacteria|p__Proteobacteria	395490
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	385330
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	385315
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	14
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6669
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	6368
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	171
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	95
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	28
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2668
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2668
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	134
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	134
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	688
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	653
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	32
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2
k__Bacteria|p__Spirochaetes	1249
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1249
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	1248
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	1
k__Bacteria|p__Fusobacteria	147
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	147
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	147
k__Bacteria|p__Synergistetes	13
k__Bacteria|p__Synergistetes|c__Synergistia	13
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	13
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	2
k__Archaea	240100
k__Archaea|p__Euryarchaeota	240100
k__Archaea|p__Euryarchaeota|c__Methanobacteria	240100
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	240100
k__Eukaryota	438
k__Eukaryota|k__Viridiplantae	352
k__Eukaryota|k__Viridiplantae|p__Streptophyta	351
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	351
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	251
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Cucurbitales	17
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales	1
