#Classification	GQ27_bracken_C.kreport
k__Bacteria	1275369
k__Bacteria|p__Firmicutes	599175
k__Bacteria|p__Firmicutes|c__Bacilli	521433
k__Bacteria|p__Firmicutes|c__Negativicutes	69830
k__Bacteria|p__Firmicutes|c__Clostridia	7365
k__Bacteria|p__Firmicutes|c__Tissierellia	546
k__Bacteria|p__Actinobacteria	215007
k__Bacteria|p__Actinobacteria|c__Actinomycetia	214958
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	48
k__Bacteria|p__Tenericutes	36
k__Bacteria|p__Tenericutes|c__Mollicutes	36
k__Bacteria|p__Proteobacteria	293275
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	86593
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	193419
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	13146
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	96
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	19
k__Bacteria|p__Bacteroidetes	150396
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	147862
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2533
k__Bacteria|p__Fusobacteria	16929
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	16929
k__Bacteria|p__Spirochaetes	342
k__Bacteria|p__Spirochaetes|c__Spirochaetia	342
k__Bacteria|p__Synergistetes	129
k__Bacteria|p__Synergistetes|c__Synergistia	129
k__Bacteria|p__Candidatus_Saccharibacteria	76
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	76
k__Eukaryota	7941
k__Eukaryota|k__Metazoa	5285
k__Eukaryota|k__Metazoa|p__Chordata	5285
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	5285
k__Eukaryota|k__Fungi	57
k__Eukaryota|k__Fungi|p__Basidiomycota	57
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	57
k__Eukaryota|k__Viridiplantae	2598
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2598
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2598
k__Viruses	128
k__Viruses|k__Heunggongvirae	127
k__Viruses|k__Heunggongvirae|p__Uroviricota	113
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	113
k__Viruses|k__Heunggongvirae|p__Peploviricota	14
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	14
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Pokkesviricetes	1
