#mpa_vOct22_CHOCOPhlAnSGB_202212
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5530169.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vOct22_CHOCOPhlAnSGB_202212 --bowtie2out /localscratch/ronj2303.5530169.0/GQ49.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5530169.0/GQ49_profile.txt /localscratch/ronj2303.5530169.0/all_reads.fastq
#82143731 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	16.53682	
k__Bacteria	2	82.69893577042458	
k__Archaea	2157	0.764247328683604	
k__Bacteria|p__Firmicutes	2|1239	49.397651531933946	
k__Bacteria|p__Bacteroidetes	2|976	26.286971560295115	
k__Bacteria|p__Actinobacteria	2|201174	2.6104529388358775	
k__Bacteria|p__Proteobacteria	2|1224	2.0794184363678014	
k__Bacteria|p__Bacteria_unclassified	2|	1.3952373392311719	
k__Bacteria|p__Verrucomicrobia	2|74201	0.8352327659093955	
k__Archaea|p__Euryarchaeota	2157|28890	0.764247328683604	
k__Bacteria|p__Lentisphaerae	2|256845	0.09358726720903002	
k__Bacteria|p__Tenericutes	2|544448	0.00039227696056580853	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	30.589164796321743	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	26.286971560295115	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.7640393240402017	
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	3.105039069244573	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.7144255903570915	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.5855834746069981	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	1.55170576858707	
k__Bacteria|p__Firmicutes|c__CFGB2947	2|1239|	1.402607138298823	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	1.310163316698251	
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	1.0452010956318218	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.896027348478786	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.8352327659093955	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.764247328683604	
k__Bacteria|p__Firmicutes|c__CFGB1798	2|1239|	0.7361202359792046	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.7195861794072712	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.6305476556771427	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.5635767975584182	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.3746829215685165	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.3544681386219125	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.35002789728103995	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.2502309692494363	
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.24387107469728425	
