#mpa_vJun23_CHOCOPhlAnSGB_202307
#/usr/local/bin/metaphlan -t rel_ab --input_type fastq --add_viruses --unclassified_estimation --offline --tmp_dir /localscratch/ronj2303.5530204.0 --bowtie2db /nfs3_ib/nfs-ip34/fast/def-ilafores/metaphlan4_db -x mpa_vJun23_CHOCOPhlAnSGB_202307 --bowtie2out /localscratch/ronj2303.5530204.0/GQ29.bowtie2.txt --nproc 24 -o /localscratch/ronj2303.5530204.0/GQ29_profile.txt /localscratch/ronj2303.5530204.0/all_reads.fastq
#55449435 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	34.23918	
k__Bacteria	2	65.7608247112803	
k__Bacteria|p__Firmicutes	2|1239	43.61004058068725	
k__Bacteria|p__Fusobacteria	2|32066	7.832206288268081	
k__Bacteria|p__Bacteroidota	2|976	5.787564150262481	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	4.02931697995698	
k__Bacteria|p__Actinobacteria	2|201174	3.397269965409452	
k__Bacteria|p__Proteobacteria	2|1224	0.9220325232768611	
k__Bacteria|p__Candidatus_Absconditabacteria	2|221235	0.1439570213754637	
k__Bacteria|p__Spirochaetes	2|203691	0.03843062596127221	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	27.804551306897974	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	7.832206288268081	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	5.502806627097696	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	5.0873494648192406	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	3.594565591708235	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.2652419576366145	
k__Bacteria|p__Firmicutes|c__CFGB1764	2|1239|	2.217027563903749	
k__Bacteria|p__Firmicutes|c__CFGB1762	2|1239|	1.528011946908838	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.570231839318925	
k__Bacteria|p__Firmicutes|c__CFGB1781	2|1239|	0.5591445642726031	
k__Bacteria|p__Firmicutes|c__CFGB1534	2|1239|	0.43832877711303886	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.2635759615252826	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9314	2|95818|	0.24484727864750996	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.19480986712469678	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.17427276156736396	
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified	2|221235|	0.1439570213754637	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.13202800777283746	
k__Bacteria|p__Proteobacteria|c__CFGB4196	2|1224|	0.07424397109903547	
k__Bacteria|p__Bacteroidota|c__CFGB570	2|976|	0.049688879151843404	
k__Bacteria|p__Bacteroidota|c__CFGB497	2|976|	0.040265352970716935	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.030933891944186255	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.017788303084401325	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.013987327416089322	
k__Bacteria|p__Firmicutes|c__CFGB1261	2|1239|	0.010797927417592227	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia	2|95818|2093818	0.008779070098955922	
k__Bacteria|p__Spirochaetes|c__CFGB1023	2|203691|	0.007496734017085956	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355	2|95818|	0.0068522779349154085	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	27.069233493223848	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	7.832206288268081	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	5.502806627097696	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	4.549110266722353	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	3.594565591708235	
k__Bacteria|p__Firmicutes|c__CFGB1764|o__OFGB1764	2|1239||	2.217027563903749	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	1.8699156267477268	
k__Bacteria|p__Firmicutes|c__CFGB1762|o__OFGB1762	2|1239||	1.528011946908838	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2|201174|1760|85006	1.311764050928264	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.7353178136741231	
k__Bacteria|p__Firmicutes|c__CFGB1781|o__OFGB1781	2|1239||	0.5591445642726031	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.538239198096887	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.5217858397541247	
k__Bacteria|p__Firmicutes|c__CFGB1534|o__OFGB1534	2|1239||	0.43832877711303886	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.2635759615252826	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9314|o__OFGB9314	2|95818||	0.24484727864750996	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.19480986712469678	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	2|95818|2171982|2171984	0.17427276156736396	
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified|o__Candidatus_Absconditabacteria_unclassified	2|221235||	0.1439570213754637	
