#Classification	SRR5091465_bracken_O.kreport
k__Bacteria	5365726
k__Bacteria|p__Bacteroidetes	4049833
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	4049833
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	4049833
k__Bacteria|p__Firmicutes	1140903
k__Bacteria|p__Firmicutes|c__Clostridia	1005350
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1005350
k__Bacteria|p__Firmicutes|c__Negativicutes	108656
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	20499
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	88061
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	95
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	17286
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	17286
k__Bacteria|p__Firmicutes|c__Bacilli	9611
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	9611
k__Bacteria|p__Actinobacteria	3100
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2238
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2152
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	60
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	9
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	15
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	861
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	825
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	36
k__Bacteria|p__Proteobacteria	166031
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	164323
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	67394
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	96399
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	109
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	404
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	11
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1289
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1289
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	416
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	416
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1
k__Bacteria|p__Verrucomicrobia	5287
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	5287
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	5287
k__Bacteria|p__Fusobacteria	498
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	498
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	498
k__Bacteria|p__Spirochaetes	71
k__Bacteria|p__Spirochaetes|c__Spirochaetia	71
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	71
k__Eukaryota	5
k__Eukaryota|k__Viridiplantae	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	5
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales	5
k__Viruses	72
k__Viruses|k__Heunggongvirae	49
k__Viruses|k__Heunggongvirae|p__Uroviricota	49
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	49
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	49
k__Viruses|k__Sangervirae	23
k__Viruses|k__Sangervirae|p__Phixviricota	23
k__Viruses|k__Sangervirae|p__Phixviricota|c__Malgrandaviricetes	23
k__Viruses|k__Sangervirae|p__Phixviricota|c__Malgrandaviricetes|o__Petitvirales	23
