#Classification	SRR5091468_bracken_C.kreport
k__Bacteria	2076364
k__Bacteria|p__Firmicutes	1006415
k__Bacteria|p__Firmicutes|c__Clostridia	1001394
k__Bacteria|p__Firmicutes|c__Bacilli	2705
k__Bacteria|p__Firmicutes|c__Negativicutes	1336
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	979
k__Bacteria|p__Actinobacteria	7406
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	6188
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1217
k__Bacteria|p__Bacteroidetes	1001308
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1001307
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Bacteria|p__Proteobacteria	60516
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	60133
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	33
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	86
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	243
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	20
k__Bacteria|p__Synergistetes	636
k__Bacteria|p__Synergistetes|c__Synergistia	636
k__Bacteria|p__Verrucomicrobia	68
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	68
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Spirochaetes|c__Spirochaetia	5
k__Bacteria|p__Fusobacteria	4
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	4
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2
k__Eukaryota	4
k__Eukaryota|k__Viridiplantae	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	4
k__Viruses	1166
k__Viruses|k__Heunggongvirae	1166
k__Viruses|k__Heunggongvirae|p__Uroviricota	1166
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1166
