#Classification	SRR5091606_bracken_P.kreport
k__Bacteria	571880
k__Bacteria|p__Bacteroidetes	405012
k__Bacteria|p__Firmicutes	140555
k__Bacteria|p__Actinobacteria	318
k__Bacteria|p__Proteobacteria	25943
k__Bacteria|p__Verrucomicrobia	25
k__Bacteria|p__Fusobacteria	24
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	125
k__Eukaryota|k__Fungi	39
k__Eukaryota|k__Fungi|p__Basidiomycota	39
k__Eukaryota|k__Metazoa	38
k__Eukaryota|k__Metazoa|p__Chordata	38
k__Eukaryota|k__Viridiplantae	47
k__Eukaryota|k__Viridiplantae|p__Streptophyta	47
k__Viruses	110
k__Viruses|k__Heunggongvirae	110
k__Viruses|k__Heunggongvirae|p__Uroviricota	110
