#Classification	S-1-POLCOM-G_bracken_O.kreport
k__Bacteria	450173
k__Bacteria|p__Proteobacteria	325295
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	187800
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	85406
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	62147
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	31711
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	4495
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	3804
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	142
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	43
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	21
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	25
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	98102
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	93243
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3357
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	785
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	715
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	38030
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	15049
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	9345
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	9858
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	679
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	871
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	157
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	98
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	772
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	285
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	35
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	76
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	81
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	103
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	341
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	100
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	101
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	37
