#Classification	S-10-POLJUN-B_bracken_O.kreport
k__Bacteria	1705577
k__Bacteria|p__Proteobacteria	957556
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	462428
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	286010
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	81631
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	54310
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	30631
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	8812
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	484
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	289
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	43
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	111
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	11
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	76
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	360119
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	346310
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	8411
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2385
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	3010
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	121863
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	54971
