#Classification	S-11-POLPIL-G_bracken_O.kreport
k__Bacteria	605168
k__Bacteria|p__Proteobacteria	447392
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	294616
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	147818
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	108746
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	27765
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	7037
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2995
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	102
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	61
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	17
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	32
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	24
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	106227
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	102605
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2462
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	696
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	462
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	44378
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	13169
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	11797
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	14411
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	458
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	572
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	85
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	549
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	748
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	98
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	115
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	100
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	26
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	125
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1656
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	54
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	51
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	340
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2042
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1538
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	251
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	73
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	44
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	17
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	89
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	26
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	78
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	78
k__Bacteria|p__Proteobacteria|c__Oligoflexia	24
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	20
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	4
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	13
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	13
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	10
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	10
k__Bacteria|p__Actinobacteria	94361
k__Bacteria|p__Actinobacteria|c__Actinomycetia	92130
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	53232
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	14998
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	7253
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2799
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	3521
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2936
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	2063
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	1042
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	1071
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	625
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	356
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	271
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	254
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	90
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	1413
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	102
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	82
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	1
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1249
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	1147
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	101
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	628
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	628
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	225
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	36
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	188
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	104
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	104
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	21
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	12
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	6
