#Classification	S-12-POLJUN-G_bracken_P.kreport
k__Bacteria	962985
k__Bacteria|p__Proteobacteria	645698
k__Bacteria|p__Cyanobacteria	139530
k__Bacteria|p__Actinobacteria	132669
k__Bacteria|p__Firmicutes	8053
k__Bacteria|p__Deinococcus-Thermus	85
k__Bacteria|p__Armatimonadetes	38
k__Bacteria|p__Chloroflexi	38
k__Bacteria|p__Tenericutes	20
k__Bacteria|p__Acidobacteria	22925
k__Bacteria|p__Bacteroidetes	10621
k__Bacteria|p__Chlorobi	5
k__Bacteria|p__Rhodothermaeota	25
k__Bacteria|p__Balneolaeota	2
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	51
k__Bacteria|p__Planctomycetes	2528
k__Bacteria|p__Verrucomicrobia	480
k__Bacteria|p__Chlamydiae	45
k__Bacteria|p__Spirochaetes	86
k__Bacteria|p__Nitrospirae	16
k__Bacteria|p__Candidatus_Saccharibacteria	14
k__Bacteria|p__Fusobacteria	20
k__Bacteria|p__Thermotogae	6
k__Bacteria|p__Synergistetes	2
k__Bacteria|p__Thermodesulfobacteria	2
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Chrysiogenetes	12
k__Bacteria|p__Deferribacteres	1
k__Eukaryota	199717
k__Eukaryota|k__Viridiplantae	172608
k__Eukaryota|k__Viridiplantae|p__Streptophyta	172404
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	204
k__Eukaryota|k__Metazoa	22129
k__Eukaryota|k__Metazoa|p__Chordata	22129
k__Eukaryota|k__Fungi	4873
k__Eukaryota|k__Fungi|p__Ascomycota	4490
k__Eukaryota|k__Fungi|p__Basidiomycota	382
k__Eukaryota|p__Bacillariophyta	33
k__Eukaryota|p__Apicomplexa	23
k__Eukaryota|p__Cercozoa	15
k__Eukaryota|p__Euglenozoa	31
k__Eukaryota|p__Evosea	2
k__Archaea	90
k__Archaea|p__Euryarchaeota	84
k__Archaea|p__Crenarchaeota	5
k__Archaea|p__Thaumarchaeota	1
k__Viruses	16
k__Viruses|k__Heunggongvirae	13
k__Viruses|k__Heunggongvirae|p__Uroviricota	12
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Bamfordvirae	3
k__Viruses|k__Bamfordvirae|p__Preplasmiviricota	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
