#Classification	S-12-POLPIL-B_bracken_C.kreport
k__Bacteria	691124
k__Bacteria|p__Proteobacteria	505950
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	335672
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	103060
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	64661
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2305
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	140
k__Bacteria|p__Proteobacteria|c__Oligoflexia	33
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	74
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
k__Bacteria|p__Actinobacteria	125842
k__Bacteria|p__Actinobacteria|c__Actinomycetia	100626
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1739
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	746
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	154
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	101
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	22473
k__Bacteria|p__Firmicutes	4327
k__Bacteria|p__Firmicutes|c__Bacilli	3491
k__Bacteria|p__Firmicutes|c__Clostridia	789
k__Bacteria|p__Firmicutes|c__Negativicutes	7
k__Bacteria|p__Firmicutes|c__Limnochordia	4
k__Bacteria|p__Firmicutes|c__Tissierellia	18
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	18
k__Bacteria|p__Chloroflexi	377
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	225
k__Bacteria|p__Chloroflexi|c__Tepidiformia	6
k__Bacteria|p__Chloroflexi|c__Chloroflexia	7
k__Bacteria|p__Chloroflexi|c__Anaerolineae	4
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	20
k__Bacteria|p__Chloroflexi|c__Caldilineae	3
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	3
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	106
k__Bacteria|p__Deinococcus-Thermus	164
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	164
k__Bacteria|p__Armatimonadetes	87
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	78
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	9
k__Bacteria|p__Cyanobacteria	48
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	48
k__Bacteria|p__Tenericutes	22
k__Bacteria|p__Tenericutes|c__Mollicutes	22
k__Bacteria|p__Acidobacteria	36144
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	36106
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	25
k__Bacteria|p__Acidobacteria|c__Blastocatellia	12
k__Bacteria|p__Bacteroidetes	12831
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	7317
k__Bacteria|p__Bacteroidetes|c__Cytophagia	4144
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	716
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	320
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	329
k__Bacteria|p__Bacteroidetes|c__Saprospiria	3
k__Bacteria|p__Rhodothermaeota	36
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	36
k__Bacteria|p__Chlorobi	5
k__Bacteria|p__Chlorobi|c__Chlorobia	5
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	1
k__Bacteria|p__Gemmatimonadetes	100
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	100
k__Bacteria|p__Planctomycetes	3963
k__Bacteria|p__Planctomycetes|c__Planctomycetia	3754
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	209
k__Bacteria|p__Verrucomicrobia	687
k__Bacteria|p__Verrucomicrobia|c__Opitutae	309
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	294
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria	81
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	1
k__Bacteria|p__Kiritimatiellaeota	196
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	195
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	1
k__Bacteria|p__Chlamydiae	49
k__Bacteria|p__Chlamydiae|c__Chlamydiia	49
k__Bacteria|p__Spirochaetes	139
k__Bacteria|p__Spirochaetes|c__Spirochaetia	139
k__Bacteria|p__Chrysiogenetes	91
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	91
k__Bacteria|p__Synergistetes	18
k__Bacteria|p__Synergistetes|c__Synergistia	18
k__Bacteria|p__Thermotogae	12
k__Bacteria|p__Thermotogae|c__Thermotogae	12
k__Bacteria|p__Nitrospirae	10
k__Bacteria|p__Nitrospirae|c__Nitrospira	10
k__Bacteria|p__Deferribacteres	5
k__Bacteria|p__Deferribacteres|c__Deferribacteres	5
k__Bacteria|p__Fusobacteria	4
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	4
