#Classification	S-13-POLJUN-B_bracken_P.kreport
k__Bacteria	1285932
k__Bacteria|p__Actinobacteria	246435
k__Bacteria|p__Cyanobacteria	212090
k__Bacteria|p__Firmicutes	130967
k__Bacteria|p__Deinococcus-Thermus	237
k__Bacteria|p__Armatimonadetes	186
k__Bacteria|p__Chloroflexi	335
k__Bacteria|p__Tenericutes	20
k__Bacteria|p__Proteobacteria	612981
k__Bacteria|p__Acidobacteria	41740
k__Bacteria|p__Bacteroidetes	26921
k__Bacteria|p__Chlorobi	32
k__Bacteria|p__Rhodothermaeota	52
k__Bacteria|p__Gemmatimonadetes	180
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Planctomycetes	10435
k__Bacteria|p__Verrucomicrobia	2089
k__Bacteria|p__Chlamydiae	29
k__Bacteria|p__Kiritimatiellaeota	555
k__Bacteria|p__Candidatus_Saccharibacteria	44
k__Bacteria|p__Candidatus_Bipolaricaulota	3
k__Bacteria|p__Candidatus_Absconditabacteria	3
k__Bacteria|p__Spirochaetes	103
k__Bacteria|p__Nitrospirae	28
k__Bacteria|p__Thermotogae	384
k__Bacteria|p__Synergistetes	39
k__Bacteria|p__Deferribacteres	5
k__Bacteria|p__Atribacterota	2
k__Bacteria|p__Aquificae	2
k__Bacteria|p__Fusobacteria	1
k__Bacteria|p__Chrysiogenetes	18
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	34661
k__Eukaryota|k__Fungi	9864
k__Eukaryota|k__Fungi|p__Ascomycota	9542
k__Eukaryota|k__Fungi|p__Basidiomycota	321
k__Eukaryota|k__Metazoa	8914
k__Eukaryota|k__Metazoa|p__Chordata	8914
k__Eukaryota|k__Viridiplantae	15757
k__Eukaryota|k__Viridiplantae|p__Streptophyta	15127
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	629
k__Eukaryota|p__Apicomplexa	39
k__Eukaryota|p__Bacillariophyta	21
k__Eukaryota|p__Cercozoa	8
k__Eukaryota|p__Euglenozoa	51
k__Eukaryota|p__Evosea	3
k__Eukaryota|p__Rhodophyta	1
k__Archaea	219
k__Archaea|p__Euryarchaeota	215
k__Archaea|p__Thaumarchaeota	2
k__Archaea|p__Crenarchaeota	1
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	28
k__Viruses|k__Heunggongvirae	27
k__Viruses|k__Heunggongvirae|p__Uroviricota	27
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
