#Classification	S-14-POLJUN-G_bracken_C.kreport
k__Bacteria	655274
k__Bacteria|p__Proteobacteria	501035
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	309204
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	80118
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	109513
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2113
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	18
k__Bacteria|p__Proteobacteria|c__Oligoflexia	24
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	24
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	15
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
k__Bacteria|p__Actinobacteria	117319
k__Bacteria|p__Actinobacteria|c__Actinomycetia	76013
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2071
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	1063
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	344
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	67
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	37759
k__Bacteria|p__Firmicutes	8545
k__Bacteria|p__Firmicutes|c__Bacilli	8290
k__Bacteria|p__Firmicutes|c__Clostridia	151
k__Bacteria|p__Firmicutes|c__Negativicutes	15
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	27
k__Bacteria|p__Firmicutes|c__Tissierellia	58
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Chloroflexi	148
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	119
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	10
k__Bacteria|p__Chloroflexi|c__Chloroflexia	6
k__Bacteria|p__Chloroflexi|c__Anaerolineae	4
k__Bacteria|p__Chloroflexi|c__Tepidiformia	3
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	3
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	2
k__Bacteria|p__Deinococcus-Thermus	81
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	81
k__Bacteria|p__Tenericutes	18
k__Bacteria|p__Tenericutes|c__Mollicutes	18
k__Bacteria|p__Cyanobacteria	14
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	14
k__Bacteria|p__Armatimonadetes	8
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	5
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	3
k__Bacteria|p__Acidobacteria	22930
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	22916
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	9
k__Bacteria|p__Acidobacteria|c__Blastocatellia	4
k__Bacteria|p__Bacteroidetes	3532
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2357
k__Bacteria|p__Bacteroidetes|c__Cytophagia	668
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	275
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	112
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	118
k__Bacteria|p__Rhodothermaeota	13
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	13
k__Bacteria|p__Chlorobi	7
k__Bacteria|p__Chlorobi|c__Chlorobia	7
k__Bacteria|p__Gemmatimonadetes	29
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	29
k__Bacteria|p__Planctomycetes	1076
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1030
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	45
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia	1
k__Bacteria|p__Verrucomicrobia	216
k__Bacteria|p__Verrucomicrobia|c__Opitutae	96
