#Classification	S-20-POLJUN-B_bracken_C.kreport
k__Bacteria	1587180
k__Bacteria|p__Proteobacteria	815921
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	482177
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	232006
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	91847
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	9431
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	79
k__Bacteria|p__Proteobacteria|c__Oligoflexia	37
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	204
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	137
k__Bacteria|p__Actinobacteria	684107
k__Bacteria|p__Actinobacteria|c__Actinomycetia	410629
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	10495
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	5789
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	652
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	578
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	255961
k__Bacteria|p__Firmicutes	7402
k__Bacteria|p__Firmicutes|c__Bacilli	5854
k__Bacteria|p__Firmicutes|c__Clostridia	1400
k__Bacteria|p__Firmicutes|c__Negativicutes	20
k__Bacteria|p__Firmicutes|c__Limnochordia	7
k__Bacteria|p__Firmicutes|c__Tissierellia	25
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	94
k__Bacteria|p__Chloroflexi	461
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	177
k__Bacteria|p__Chloroflexi|c__Chloroflexia	17
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	12
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	228
k__Bacteria|p__Chloroflexi|c__Tepidiformia	8
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	8
k__Bacteria|p__Chloroflexi|c__Anaerolineae	6
k__Bacteria|p__Chloroflexi|c__Caldilineae	3
k__Bacteria|p__Deinococcus-Thermus	275
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	275
k__Bacteria|p__Armatimonadetes	136
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	94
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	42
k__Bacteria|p__Cyanobacteria	75
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	75
k__Bacteria|p__Tenericutes	68
