#Classification	S-21-POLPIL-G_bracken_P.kreport
k__Eukaryota	309668
k__Eukaryota|k__Viridiplantae	275739
k__Eukaryota|k__Viridiplantae|p__Streptophyta	275692
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	46
k__Eukaryota|k__Metazoa	31445
k__Eukaryota|k__Metazoa|p__Chordata	31445
k__Eukaryota|k__Fungi	2365
k__Eukaryota|k__Fungi|p__Ascomycota	2263
k__Eukaryota|k__Fungi|p__Basidiomycota	102
k__Eukaryota|p__Bacillariophyta	43
k__Eukaryota|p__Cercozoa	27
k__Eukaryota|p__Apicomplexa	16
k__Eukaryota|p__Euglenozoa	29
k__Eukaryota|p__Evosea	1
k__Bacteria	166378
k__Bacteria|p__Proteobacteria	135232
k__Bacteria|p__Actinobacteria	18206
k__Bacteria|p__Cyanobacteria	2790
k__Bacteria|p__Firmicutes	1047
k__Bacteria|p__Deinococcus-Thermus	31
k__Bacteria|p__Chloroflexi	11
k__Bacteria|p__Armatimonadetes	4
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Acidobacteria	7166
k__Bacteria|p__Bacteroidetes	1346
k__Bacteria|p__Chlorobi	2
k__Bacteria|p__Rhodothermaeota	5
k__Bacteria|p__Gemmatimonadetes	10
k__Bacteria|p__Planctomycetes	316
k__Bacteria|p__Verrucomicrobia	59
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Kiritimatiellaeota	16
k__Bacteria|p__Spirochaetes	103
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Bacteria|p__Candidatus_Bipolaricaulota	1
k__Bacteria|p__Thermotogae	10
k__Bacteria|p__Fusobacteria	4
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Deferribacteres	1
k__Archaea	28
k__Archaea|p__Euryarchaeota	23
k__Archaea|p__Thaumarchaeota	1
k__Archaea|p__Candidatus_Korarchaeota	1
k__Archaea|p__Crenarchaeota	1
k__Archaea|p__Candidatus_Thermoplasmatota	2
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
