#Classification	S-3-POLJUN-G_bracken_O.kreport
k__Bacteria	598604
k__Bacteria|p__Proteobacteria	452715
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	288615
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	182480
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	83703
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	16621
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3419
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2167
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	127
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	32
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	35
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	7
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	118369
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	113024
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3201
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	876
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1267
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	42707
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	17966
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	7965
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	12831
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1027
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	426
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1713
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	121
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	130
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	45
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	38
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	248
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	52
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	14
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	49
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	25
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	26
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2826
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2545
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	76
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	59
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	43
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	9
