#Classification	S-3-POLPIL-G_bracken_C.kreport
k__Bacteria	637479
k__Bacteria|p__Proteobacteria	477361
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	292862
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	140981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	41711
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1534
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	81
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	175
k__Bacteria|p__Proteobacteria|c__Oligoflexia	14
k__Bacteria|p__Actinobacteria	99419
k__Bacteria|p__Actinobacteria|c__Actinomycetia	76581
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1899
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	648
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	192
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	241
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	19857
k__Bacteria|p__Firmicutes	6044
k__Bacteria|p__Firmicutes|c__Bacilli	4734
k__Bacteria|p__Firmicutes|c__Clostridia	766
k__Bacteria|p__Firmicutes|c__Negativicutes	257
k__Bacteria|p__Firmicutes|c__Limnochordia	5
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	148
k__Bacteria|p__Firmicutes|c__Tissierellia	131
k__Bacteria|p__Chloroflexi	517
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	334
k__Bacteria|p__Chloroflexi|c__Chloroflexia	11
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	8
k__Bacteria|p__Chloroflexi|c__Tepidiformia	7
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	129
k__Bacteria|p__Chloroflexi|c__Anaerolineae	7
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	5
k__Bacteria|p__Chloroflexi|c__Caldilineae	13
k__Bacteria|p__Deinococcus-Thermus	166
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	166
k__Bacteria|p__Armatimonadetes	53
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	36
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	17
k__Bacteria|p__Cyanobacteria	52
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	52
k__Bacteria|p__Tenericutes	29
k__Bacteria|p__Tenericutes|c__Mollicutes	29
k__Bacteria|p__Acidobacteria	37616
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	37587
k__Bacteria|p__Acidobacteria|c__Blastocatellia	15
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	13
k__Bacteria|p__Bacteroidetes	10132
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	7442
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1782
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	566
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	136
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	201
k__Bacteria|p__Bacteroidetes|c__Saprospiria	2
k__Bacteria|p__Rhodothermaeota	26
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	26
k__Bacteria|p__Chlorobi	23
k__Bacteria|p__Chlorobi|c__Chlorobia	23
k__Bacteria|p__Gemmatimonadetes	732
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	732
k__Bacteria|p__Planctomycetes	3972
k__Bacteria|p__Planctomycetes|c__Planctomycetia	3814
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	157
k__Bacteria|p__Verrucomicrobia	757
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	350
k__Bacteria|p__Verrucomicrobia|c__Opitutae	281
