#Classification	S-4-DICUND-G_bracken_P.kreport
k__Bacteria	1002332
k__Bacteria|p__Proteobacteria	646774
k__Bacteria|p__Cyanobacteria	139831
k__Bacteria|p__Actinobacteria	144770
k__Bacteria|p__Firmicutes	7921
k__Bacteria|p__Deinococcus-Thermus	266
k__Bacteria|p__Chloroflexi	298
k__Bacteria|p__Armatimonadetes	110
k__Bacteria|p__Tenericutes	22
k__Bacteria|p__Acidobacteria	45774
k__Bacteria|p__Bacteroidetes	9139
k__Bacteria|p__Chlorobi	20
k__Bacteria|p__Rhodothermaeota	39
k__Bacteria|p__Balneolaeota	3
k__Bacteria|p__Gemmatimonadetes	164
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Planctomycetes	5245
k__Bacteria|p__Verrucomicrobia	979
k__Bacteria|p__Chlamydiae	112
k__Bacteria|p__Kiritimatiellaeota	232
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Candidatus_Saccharibacteria	148
k__Bacteria|p__Spirochaetes	101
k__Bacteria|p__Nitrospirae	27
k__Bacteria|p__Synergistetes	70
k__Bacteria|p__Chrysiogenetes	218
k__Bacteria|p__Elusimicrobia	4
k__Bacteria|p__Fusobacteria	14
k__Bacteria|p__Deferribacteres	5
k__Bacteria|p__Thermotogae	3
k__Bacteria|p__Aquificae	2
k__Bacteria|p__Coprothermobacterota	26
k__Bacteria|p__Thermodesulfobacteria	1
k__Eukaryota	118339
k__Eukaryota|k__Viridiplantae	94031
k__Eukaryota|k__Viridiplantae|p__Streptophyta	93951
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	80
k__Eukaryota|k__Metazoa	19962
k__Eukaryota|k__Metazoa|p__Chordata	19962
k__Eukaryota|k__Fungi	4232
k__Eukaryota|k__Fungi|p__Ascomycota	4107
k__Eukaryota|k__Fungi|p__Basidiomycota	123
k__Eukaryota|k__Fungi|p__Microsporidia	1
k__Eukaryota|p__Apicomplexa	45
k__Eukaryota|p__Ciliophora	1
k__Eukaryota|p__Bacillariophyta	11
k__Eukaryota|p__Cercozoa	3
k__Eukaryota|p__Euglenozoa	26
k__Eukaryota|p__Evosea	25
k__Archaea	177
k__Archaea|p__Euryarchaeota	170
k__Archaea|p__Crenarchaeota	5
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Archaea|p__Candidatus_Micrarchaeota	1
k__Viruses	18
k__Viruses|k__Heunggongvirae	13
k__Viruses|k__Heunggongvirae|p__Uroviricota	13
k__Viruses|k__Bamfordvirae	5
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	5
