#Classification	S-5-POLCOM-B_bracken_C.kreport
k__Bacteria	1418305
k__Bacteria|p__Proteobacteria	1057198
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	428181
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	480996
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	140981
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	6693
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	87
k__Bacteria|p__Proteobacteria|c__Oligoflexia	113
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	117
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	25
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	1
k__Bacteria|p__Actinobacteria	225551
k__Bacteria|p__Actinobacteria|c__Actinomycetia	199296
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	4855
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	1778
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	571
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	649
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	18400
k__Bacteria|p__Firmicutes	6045
k__Bacteria|p__Firmicutes|c__Bacilli	5044
k__Bacteria|p__Firmicutes|c__Clostridia	881
k__Bacteria|p__Firmicutes|c__Negativicutes	37
k__Bacteria|p__Firmicutes|c__Tissierellia	81
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Chloroflexi	254
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	88
k__Bacteria|p__Chloroflexi|c__Tepidiformia	14
k__Bacteria|p__Chloroflexi|c__Chloroflexia	18
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	12
k__Bacteria|p__Chloroflexi|c__Anaerolineae	10
k__Bacteria|p__Chloroflexi|c__Caldilineae	8
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	5
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	96
k__Bacteria|p__Deinococcus-Thermus	164
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	164
k__Bacteria|p__Armatimonadetes	80
