#Classification	S-5-POLPIL-B_bracken_P.kreport
k__Bacteria	1760680
k__Bacteria|p__Proteobacteria	1213003
k__Bacteria|p__Actinobacteria	388352
k__Bacteria|p__Cyanobacteria	7713
k__Bacteria|p__Firmicutes	12619
k__Bacteria|p__Chloroflexi	584
k__Bacteria|p__Deinococcus-Thermus	334
k__Bacteria|p__Armatimonadetes	163
k__Bacteria|p__Tenericutes	23
k__Bacteria|p__Acidobacteria	71214
k__Bacteria|p__Bacteroidetes	39780
k__Bacteria|p__Chlorobi	49
k__Bacteria|p__Rhodothermaeota	92
k__Bacteria|p__Balneolaeota	6
k__Bacteria|p__Ignavibacteriae	2
k__Bacteria|p__Gemmatimonadetes	466
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Planctomycetes	19387
k__Bacteria|p__Verrucomicrobia	4895
k__Bacteria|p__Chlamydiae	300
k__Bacteria|p__Kiritimatiellaeota	921
k__Bacteria|p__Candidatus_Omnitrophica	4
k__Bacteria|p__Spirochaetes	424
k__Bacteria|p__Candidatus_Saccharibacteria	37
k__Bacteria|p__Candidatus_Bipolaricaulota	5
k__Bacteria|p__Candidatus_Absconditabacteria	7
k__Bacteria|p__Nitrospirae	48
k__Bacteria|p__Synergistetes	32
k__Bacteria|p__Deferribacteres	11
k__Bacteria|p__Thermotogae	9
k__Bacteria|p__Fusobacteria	6
k__Bacteria|p__Thermodesulfobacteria	6
k__Bacteria|p__Atribacterota	5
k__Bacteria|p__Elusimicrobia	4
k__Bacteria|p__Chrysiogenetes	127
k__Bacteria|p__Calditrichaeota	2
k__Bacteria|p__Aquificae	3
k__Bacteria|p__Coprothermobacterota	32
k__Eukaryota	40283
k__Eukaryota|k__Fungi	12035
k__Eukaryota|k__Fungi|p__Ascomycota	10669
k__Eukaryota|k__Fungi|p__Basidiomycota	1364
k__Eukaryota|k__Fungi|p__Microsporidia	2
k__Eukaryota|k__Metazoa	11307
k__Eukaryota|k__Metazoa|p__Chordata	11307
k__Eukaryota|k__Viridiplantae	16796
k__Eukaryota|k__Viridiplantae|p__Streptophyta	16208
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	587
k__Eukaryota|p__Apicomplexa	73
k__Eukaryota|p__Bacillariophyta	14
k__Eukaryota|p__Cercozoa	6
k__Eukaryota|p__Euglenozoa	30
k__Eukaryota|p__Evosea	18
k__Eukaryota|p__Rhodophyta	1
k__Archaea	259
k__Archaea|p__Euryarchaeota	253
k__Archaea|p__Thaumarchaeota	3
k__Archaea|p__Crenarchaeota	2
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	47
k__Viruses|k__Heunggongvirae	45
k__Viruses|k__Heunggongvirae|p__Uroviricota	45
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
