#Classification	S-8-POLCOM-G_bracken_C.kreport
k__Bacteria	1314766
k__Bacteria|p__Proteobacteria	960665
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	419360
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	387921
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	149790
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3242
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	97
k__Bacteria|p__Proteobacteria|c__Oligoflexia	70
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	183
k__Bacteria|p__Actinobacteria	273564
k__Bacteria|p__Actinobacteria|c__Actinomycetia	253079
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	9551
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	4291
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1600
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	125
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	4915
k__Bacteria|p__Firmicutes	10904
k__Bacteria|p__Firmicutes|c__Bacilli	9391
k__Bacteria|p__Firmicutes|c__Clostridia	1152
k__Bacteria|p__Firmicutes|c__Negativicutes	179
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	128
k__Bacteria|p__Firmicutes|c__Limnochordia	6
k__Bacteria|p__Firmicutes|c__Tissierellia	46
k__Bacteria|p__Deinococcus-Thermus	205
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	205
k__Bacteria|p__Chloroflexi	149
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	25
k__Bacteria|p__Chloroflexi|c__Chloroflexia	12
k__Bacteria|p__Chloroflexi|c__Tepidiformia	9
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	9
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	8
k__Bacteria|p__Chloroflexi|c__Caldilineae	9
k__Bacteria|p__Chloroflexi|c__Anaerolineae	23
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	52
k__Bacteria|p__Armatimonadetes	38
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	22
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	16
k__Bacteria|p__Tenericutes	34
k__Bacteria|p__Tenericutes|c__Mollicutes	34
k__Bacteria|p__Cyanobacteria	24
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	24
k__Bacteria|p__Acidobacteria	45256
