#Classification	S-9-DICUND-B_bracken_O.kreport
k__Bacteria	1143707
k__Bacteria|p__Actinobacteria	438026
k__Bacteria|p__Actinobacteria|c__Actinomycetia	408051
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	146774
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	55920
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	37109
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	40276
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	42151
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	24287
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	30007
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	7993
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	8474
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	4261
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2064
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	1570
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1210
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	808
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	607
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	170
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	187
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	116
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	3600
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	426
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	31
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	19537
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	18769
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	768
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	6751
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	6751
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2411
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	2411
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1113
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	773
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	339
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	161
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	73
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	52
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	35
k__Bacteria|p__Firmicutes	131745
k__Bacteria|p__Firmicutes|c__Bacilli	129467
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	128829
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	637
k__Bacteria|p__Firmicutes|c__Clostridia	2111
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2063
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	20
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	20
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	4
k__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales	1
k__Bacteria|p__Firmicutes|c__Limnochordia	61
