#Classification	S-9-POLCOM-B_bracken_O.kreport
k__Bacteria	1792753
k__Bacteria|p__Proteobacteria	1273336
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	609242
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	281315
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	196762
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	96359
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	21734
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	11676
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	306
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	350
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	396
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	57
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	118
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	23
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	135
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	4
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	459080
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	445868
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	7819
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2919
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2472
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	194419
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	80239
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	33835
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	48350
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2101
