#Classification	W-1-POLJUN-G_bracken_O.kreport
k__Bacteria	1354716
k__Bacteria|p__Proteobacteria	983194
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	902133
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	514217
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	355267
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	26297
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3371
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2846
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	76
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	35
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	12
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	49057
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	22033
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	17232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	8559
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	446
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	180
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	345
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	32
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	40
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	14
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	36
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	39
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	33
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	31183
