#Classification	W-1-TORTOR-G_bracken_C.kreport
k__Bacteria	1654146
k__Bacteria|p__Actinobacteria	724661
k__Bacteria|p__Actinobacteria|c__Actinomycetia	373858
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	6556
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	4767
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	4969
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	51
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	334458
k__Bacteria|p__Firmicutes	44136
k__Bacteria|p__Firmicutes|c__Bacilli	43713
k__Bacteria|p__Firmicutes|c__Clostridia	262
k__Bacteria|p__Firmicutes|c__Negativicutes	32
k__Bacteria|p__Firmicutes|c__Tissierellia	81
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	45
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Deinococcus-Thermus	1863
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	1863
k__Bacteria|p__Armatimonadetes	192
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	184
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	8
k__Bacteria|p__Cyanobacteria	144
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	144
k__Bacteria|p__Chloroflexi	120
k__Bacteria|p__Chloroflexi|c__Anaerolineae	16
k__Bacteria|p__Chloroflexi|c__Chloroflexia	31
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	13
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	11
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	14
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	20
k__Bacteria|p__Chloroflexi|c__Caldilineae	10
k__Bacteria|p__Chloroflexi|c__Tepidiformia	2
k__Bacteria|p__Tenericutes	15
k__Bacteria|p__Tenericutes|c__Mollicutes	15
k__Bacteria|p__Proteobacteria	757024
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	536286
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	145179
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	72231
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3176
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	43
k__Bacteria|p__Proteobacteria|c__Oligoflexia	14
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	93
k__Bacteria|p__Acidobacteria	98989
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	98914
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	58
k__Bacteria|p__Acidobacteria|c__Blastocatellia	17
k__Bacteria|p__Bacteroidetes	18623
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	9432
k__Bacteria|p__Bacteroidetes|c__Cytophagia	7081
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1102
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	706
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	299
k__Bacteria|p__Bacteroidetes|c__Saprospiria	1
k__Bacteria|p__Rhodothermaeota	28
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	28
k__Bacteria|p__Chlorobi	13
k__Bacteria|p__Chlorobi|c__Chlorobia	13
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	1
k__Bacteria|p__Gemmatimonadetes	975
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	975
k__Bacteria|p__Planctomycetes	6619
k__Bacteria|p__Planctomycetes|c__Planctomycetia	6310
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	307
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia	1
k__Bacteria|p__Verrucomicrobia	492
k__Bacteria|p__Verrucomicrobia|c__Opitutae	353
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	112
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria	26
k__Bacteria|p__Kiritimatiellaeota	32
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	32
k__Bacteria|p__Chlamydiae	28
k__Bacteria|p__Chlamydiae|c__Chlamydiia	28
k__Bacteria|p__Spirochaetes	66
k__Bacteria|p__Spirochaetes|c__Spirochaetia	66
k__Bacteria|p__Fusobacteria	64
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	64
k__Bacteria|p__Chrysiogenetes	19
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	19
k__Bacteria|p__Candidatus_Saccharibacteria	11
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	11
k__Bacteria|p__Nitrospirae	8
k__Bacteria|p__Nitrospirae|c__Nitrospira	8
k__Bacteria|p__Thermotogae	5
k__Bacteria|p__Thermotogae|c__Thermotogae	5
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Synergistetes|c__Synergistia	3
k__Bacteria|p__Calditrichaeota	2
k__Bacteria|p__Calditrichaeota|c__Calditrichia	2
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	1
k__Bacteria|p__Aquificae	1
k__Bacteria|p__Aquificae|c__Aquificae	1
k__Eukaryota	315251
k__Eukaryota|k__Viridiplantae	288050
k__Eukaryota|k__Viridiplantae|p__Streptophyta	287897
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	237700
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	50197
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	153
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	107
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	45
k__Eukaryota|k__Metazoa	18116
k__Eukaryota|k__Metazoa|p__Chordata	18116
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	18116
k__Eukaryota|k__Fungi	8966
k__Eukaryota|k__Fungi|p__Ascomycota	8853
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	8329
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	37
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	291
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	113
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	81
k__Eukaryota|k__Fungi|p__Basidiomycota	113
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	72
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	4
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	13
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	22
k__Eukaryota|p__Apicomplexa	28
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	25
k__Eukaryota|p__Apicomplexa|c__Conoidasida	3
k__Eukaryota|p__Bacillariophyta	25
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	25
k__Eukaryota|p__Cercozoa	22
k__Eukaryota|p__Cercozoa|c__Chlorarachniophyceae	22
k__Eukaryota|c__Cryptophyceae	28
k__Eukaryota|p__Euglenozoa	8
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	8
k__Eukaryota|p__Evosea	3
k__Eukaryota|p__Evosea|c__Eumycetozoa	3
k__Archaea	104
k__Archaea|p__Euryarchaeota	104
k__Archaea|p__Euryarchaeota|c__Halobacteria	90
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	7
k__Archaea|p__Euryarchaeota|c__Methanococci	3
k__Archaea|p__Euryarchaeota|c__Methanobacteria	4
k__Viruses	19
k__Viruses|k__Heunggongvirae	13
k__Viruses|k__Heunggongvirae|p__Uroviricota	13
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	13
k__Viruses|k__Bamfordvirae	6
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	6
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	6
