#Classification	N-2-POLJUN-G_bracken_C.kreport
k__Bacteria	2032057
k__Bacteria|p__Proteobacteria	1522042
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	908783
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	315337
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	293727
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3962
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	62
k__Bacteria|p__Proteobacteria|c__Oligoflexia	43
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	78
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	41
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	4
k__Bacteria|p__Actinobacteria	427716
k__Bacteria|p__Actinobacteria|c__Actinomycetia	286079
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	6816
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1729
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	3493
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	189
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	129407
k__Bacteria|p__Firmicutes	20220
k__Bacteria|p__Firmicutes|c__Bacilli	19541
k__Bacteria|p__Firmicutes|c__Clostridia	473
k__Bacteria|p__Firmicutes|c__Negativicutes	75
k__Bacteria|p__Firmicutes|c__Limnochordia	13
k__Bacteria|p__Firmicutes|c__Tissierellia	98
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	18
k__Bacteria|p__Deinococcus-Thermus	164
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	164
k__Bacteria|p__Chloroflexi	111
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	28
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	15
k__Bacteria|p__Chloroflexi|c__Chloroflexia	18
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	9
k__Bacteria|p__Chloroflexi|c__Tepidiformia	8
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	7
