#Classification	S-10-POLPIL-B_bracken_C.kreport
k__Bacteria	1170854
k__Bacteria|p__Proteobacteria	821344
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	544437
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	193968
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	78474
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	4174
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	81
k__Bacteria|p__Proteobacteria|c__Oligoflexia	44
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	160
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
k__Bacteria|p__Actinobacteria	242524
k__Bacteria|p__Actinobacteria|c__Actinomycetia	212939
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	4343
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	1915
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	287
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	340
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	22697
k__Bacteria|p__Firmicutes	6694
k__Bacteria|p__Firmicutes|c__Bacilli	4640
k__Bacteria|p__Firmicutes|c__Clostridia	1926
k__Bacteria|p__Firmicutes|c__Negativicutes	72
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	40
k__Bacteria|p__Firmicutes|c__Limnochordia	6
k__Bacteria|p__Firmicutes|c__Tissierellia	7
k__Bacteria|p__Chloroflexi	493
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	207
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	22
k__Bacteria|p__Chloroflexi|c__Tepidiformia	18
k__Bacteria|p__Chloroflexi|c__Caldilineae	18
k__Bacteria|p__Chloroflexi|c__Chloroflexia	13
k__Bacteria|p__Chloroflexi|c__Anaerolineae	7
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	182
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	23
k__Bacteria|p__Deinococcus-Thermus	329
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	329
k__Bacteria|p__Armatimonadetes	177
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	137
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	40
k__Bacteria|p__Tenericutes	60
k__Bacteria|p__Tenericutes|c__Mollicutes	60
k__Bacteria|p__Cyanobacteria	46
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	46
k__Bacteria|p__Acidobacteria	70180
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	70064
k__Bacteria|p__Acidobacteria|c__Blastocatellia	58
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	57
k__Bacteria|p__Bacteroidetes	15863
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	11827
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1963
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	792
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	476
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	802
k__Bacteria|p__Rhodothermaeota	57
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	57
k__Bacteria|p__Chlorobi	40
k__Bacteria|p__Chlorobi|c__Chlorobia	40
k__Bacteria|p__Ignavibacteriae	3
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	3
k__Bacteria|p__Gemmatimonadetes	317
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	317
k__Bacteria|p__Planctomycetes	9300
k__Bacteria|p__Planctomycetes|c__Planctomycetia	8907
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	390
