#Classification	S-24-POLPIL-B_bracken_O.kreport
k__Bacteria	1519781
k__Bacteria|p__Proteobacteria	821727
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	444014
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	260819
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	96796
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	51847
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	26880
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	6429
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	376
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	430
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	263
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	20
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	54
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	82
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	274879
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	263524
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	7419
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1426
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	88886
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	20269
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	19337
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	39494
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	588
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1245
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	307
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1715
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	255
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	3117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	66
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	817
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	94
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	142
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	39
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	81
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	47
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	33
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	11
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	13337
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	11742
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	553
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	414
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	97
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	40
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	306
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	168
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	13
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	115
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	115
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	425
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	425
k__Bacteria|p__Proteobacteria|c__Oligoflexia	42
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	30
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	9
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	2
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	20
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	20
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	5
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	5
k__Bacteria|p__Actinobacteria	279713
k__Bacteria|p__Actinobacteria|c__Actinomycetia	269420
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	122611
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	41057
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	31023
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	19860
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	10931
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	15244
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	5650
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	6675
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	2664
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	1427
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	2624
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	957
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1075
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	595
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	5814
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	720
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	337
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	67
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	46
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	15
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	18
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	6269
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	5984
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	285
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2563
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2563
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	879
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	632
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	247
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	440
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	440
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	138
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	84
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	32
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	22
k__Bacteria|p__Cyanobacteria	170211
k__Bacteria|p__Cyanobacteria|o__Nostocales	163302
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	4062
k__Bacteria|p__Cyanobacteria|o__Chroococcales	479
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	1493
k__Bacteria|p__Cyanobacteria|o__Synechococcales	545
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	113
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	133
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	63
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	63
k__Bacteria|p__Cyanobacteria|o__Thermostichales	14
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	2
k__Bacteria|p__Firmicutes	149413
k__Bacteria|p__Firmicutes|c__Bacilli	148065
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	147017
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1048
k__Bacteria|p__Firmicutes|c__Clostridia	1076
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1010
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	55
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	10
k__Bacteria|p__Firmicutes|c__Negativicutes	168
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	35
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	132
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1
k__Bacteria|p__Firmicutes|c__Tissierellia	85
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	85
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	12
