#Classification	S-26-POLJUN-B_bracken_O.kreport
k__Bacteria	1503982
k__Bacteria|p__Proteobacteria	831546
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	388395
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	186725
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	134770
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	40699
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	19133
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	6481
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	381
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	78
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	42
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	30
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	336938
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	322241
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	8997
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2221
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	3477
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	95543
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	20895
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	17410
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	31492
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1251
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2264
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	292
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	231
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1057
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1118
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	361
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	188
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	128
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	7280
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	58
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	40
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	144
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	64
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	11241
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	6
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	10317
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	8787
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	500
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	386
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	168
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	28
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	347
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	76
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	22
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	105
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	102
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	3
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	177
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	177
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	34
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	34
k__Bacteria|p__Proteobacteria|c__Oligoflexia	33
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	29
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	2
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	1
k__Bacteria|p__Actinobacteria	352943
k__Bacteria|p__Actinobacteria|c__Actinomycetia	336394
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	94285
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	49828
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	50846
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	27576
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	35557
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	29870
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	10845
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	7435
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	3272
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	3344
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	5181
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	2176
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	1374
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1262
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	11754
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	612
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	133
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	930
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	63
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	33
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	8
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	10887
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	10394
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	492
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	4173
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	4173
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	816
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	603
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	213
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	581
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	581
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	90
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	35
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	25
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	29
k__Bacteria|p__Cyanobacteria	226961
k__Bacteria|p__Cyanobacteria|o__Nostocales	222156
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	1246
k__Bacteria|p__Cyanobacteria|o__Chroococcales	447
k__Bacteria|p__Cyanobacteria|o__Synechococcales	521
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	2220
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	128
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	126
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	33
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	33
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	28
k__Bacteria|p__Cyanobacteria|o__Thermostichales	52
k__Bacteria|p__Firmicutes	7234
k__Bacteria|p__Firmicutes|c__Bacilli	5565
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	4850
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	715
k__Bacteria|p__Firmicutes|c__Clostridia	1600
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1543
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	51
