#Classification	S-3-POLJUN-G_bracken_C.kreport
k__Bacteria	598598
k__Bacteria|p__Proteobacteria	452715
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	288615
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	118369
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	42707
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2826
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	60
k__Bacteria|p__Proteobacteria|c__Oligoflexia	31
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	68
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	35
k__Bacteria|p__Actinobacteria	110364
k__Bacteria|p__Actinobacteria|c__Actinomycetia	105466
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1455
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	864
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	232
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	57
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2288
k__Bacteria|p__Firmicutes	7491
k__Bacteria|p__Firmicutes|c__Bacilli	7291
k__Bacteria|p__Firmicutes|c__Clostridia	152
k__Bacteria|p__Firmicutes|c__Negativicutes	5
k__Bacteria|p__Firmicutes|c__Tissierellia	3
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	38
k__Bacteria|p__Deinococcus-Thermus	111
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	111
k__Bacteria|p__Tenericutes	34
k__Bacteria|p__Tenericutes|c__Mollicutes	34
k__Bacteria|p__Chloroflexi	19
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	5
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	5
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	3
k__Bacteria|p__Chloroflexi|c__Caldilineae	3
k__Bacteria|p__Chloroflexi|c__Anaerolineae	1
k__Bacteria|p__Chloroflexi|c__Chloroflexia	1
k__Bacteria|p__Armatimonadetes	16
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	13
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	3
k__Bacteria|p__Cyanobacteria	14
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	14
k__Bacteria|p__Acidobacteria	21422
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	21406
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	10
k__Bacteria|p__Acidobacteria|c__Blastocatellia	4
k__Bacteria|p__Bacteroidetes	4242
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2725
k__Bacteria|p__Bacteroidetes|c__Cytophagia	569
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	314
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	477
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	155
k__Bacteria|p__Rhodothermaeota	18
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	18
k__Bacteria|p__Chlorobi	8
k__Bacteria|p__Chlorobi|c__Chlorobia	8
k__Bacteria|p__Gemmatimonadetes	81
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	81
k__Bacteria|p__Fibrobacteres	4
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	4
k__Bacteria|p__Planctomycetes	1529
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1441
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	88
k__Bacteria|p__Verrucomicrobia	333
k__Bacteria|p__Verrucomicrobia|c__Opitutae	181
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	127
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria	21
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	2
k__Bacteria|p__Chlamydiae	19
k__Bacteria|p__Chlamydiae|c__Chlamydiia	19
k__Bacteria|p__Spirochaetes	97
k__Bacteria|p__Spirochaetes|c__Spirochaetia	97
k__Bacteria|p__Chrysiogenetes	19
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	19
k__Bacteria|p__Fusobacteria	17
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	17
k__Bacteria|p__Candidatus_Saccharibacteria	16
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	16
k__Bacteria|p__Synergistetes	13
k__Bacteria|p__Synergistetes|c__Synergistia	13
k__Bacteria|p__Nitrospirae	4
k__Bacteria|p__Nitrospirae|c__Nitrospira	4
k__Bacteria|p__Deferribacteres	1
k__Bacteria|p__Deferribacteres|c__Deferribacteres	1
k__Eukaryota	156134
k__Eukaryota|k__Viridiplantae	132191
k__Eukaryota|k__Viridiplantae|p__Streptophyta	132027
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	83126
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	48900
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	164
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	141
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	23
k__Eukaryota|k__Metazoa	20811
k__Eukaryota|k__Metazoa|p__Chordata	20811
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	20811
k__Eukaryota|k__Fungi	3057
k__Eukaryota|k__Fungi|p__Ascomycota	2850
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1012
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	451
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	640
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	571
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	172
k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	1
k__Eukaryota|k__Fungi|p__Basidiomycota	207
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	143
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	55
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	8
k__Eukaryota|p__Bacillariophyta	33
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	32
k__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae	1
k__Eukaryota|p__Apicomplexa	16
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	14
k__Eukaryota|p__Apicomplexa|c__Conoidasida	2
k__Eukaryota|p__Cercozoa	11
k__Eukaryota|p__Cercozoa|c__Chlorarachniophyceae	11
k__Eukaryota|c__Cryptophyceae	8
k__Eukaryota|p__Euglenozoa	2
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	2
k__Eukaryota|p__Evosea	1
k__Eukaryota|p__Evosea|c__Eumycetozoa	1
k__Eukaryota|p__Rhodophyta	1
k__Eukaryota|p__Rhodophyta|c__Bangiophyceae	1
k__Archaea	69
k__Archaea|p__Euryarchaeota	67
k__Archaea|p__Euryarchaeota|c__Halobacteria	58
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	3
k__Archaea|p__Euryarchaeota|c__Methanococci	3
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1
k__Archaea|p__Euryarchaeota|c__Thermococci	2
k__Archaea|p__Crenarchaeota	2
k__Archaea|p__Crenarchaeota|c__Thermoprotei	2
k__Viruses	12
k__Viruses|k__Heunggongvirae	9
k__Viruses|k__Heunggongvirae|p__Uroviricota	8
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	8
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	1
k__Viruses|k__Orthornavirae	1
k__Viruses|k__Orthornavirae|p__Negarnaviricota	1
k__Viruses|k__Orthornavirae|p__Negarnaviricota|c__Monjiviricetes	1
k__Viruses|k__Shotokuvirae	1
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	1
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota|c__Repensiviricetes	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	1
