#Classification	S-3-POLPIL-G_bracken_P.kreport
k__Bacteria	637721
k__Bacteria|p__Proteobacteria	477361
k__Bacteria|p__Actinobacteria	79594
k__Bacteria|p__Cyanobacteria	19887
k__Bacteria|p__Firmicutes	6044
k__Bacteria|p__Chloroflexi	517
k__Bacteria|p__Deinococcus-Thermus	166
k__Bacteria|p__Armatimonadetes	54
k__Bacteria|p__Tenericutes	29
k__Bacteria|p__Acidobacteria	37847
k__Bacteria|p__Bacteroidetes	10132
k__Bacteria|p__Chlorobi	23
k__Bacteria|p__Rhodothermaeota	26
k__Bacteria|p__Gemmatimonadetes	732
k__Bacteria|p__Planctomycetes	3972
k__Bacteria|p__Verrucomicrobia	757
k__Bacteria|p__Chlamydiae	53
k__Bacteria|p__Kiritimatiellaeota	204
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Spirochaetes	88
k__Bacteria|p__Candidatus_Saccharibacteria	23
k__Bacteria|p__Thermotogae	15
k__Bacteria|p__Synergistetes	61
k__Bacteria|p__Nitrospirae	5
k__Bacteria|p__Fusobacteria	7
k__Bacteria|p__Chrysiogenetes	106
k__Bacteria|p__Elusimicrobia	2
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Deferribacteres	1
k__Eukaryota	181799
k__Eukaryota|k__Viridiplantae	146552
k__Eukaryota|k__Viridiplantae|p__Streptophyta	146250
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	301
k__Eukaryota|k__Metazoa	25129
k__Eukaryota|k__Metazoa|p__Chordata	25129
k__Eukaryota|k__Fungi	10013
k__Eukaryota|k__Fungi|p__Ascomycota	9700
k__Eukaryota|k__Fungi|p__Basidiomycota	313
k__Eukaryota|p__Apicomplexa	30
k__Eukaryota|p__Bacillariophyta	27
k__Eukaryota|p__Cercozoa	15
k__Eukaryota|p__Euglenozoa	27
k__Eukaryota|p__Evosea	1
k__Eukaryota|p__Fornicata	1
k__Eukaryota|p__Rhodophyta	1
k__Archaea	99
k__Archaea|p__Euryarchaeota	97
k__Archaea|p__Thaumarchaeota	2
k__Viruses	21
k__Viruses|k__Heunggongvirae	20
k__Viruses|k__Heunggongvirae|p__Uroviricota	19
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Orthornavirae	1
k__Viruses|k__Orthornavirae|p__Negarnaviricota	1
