#Classification	S-6-DICUND-G_bracken_C.kreport
k__Bacteria	1254730
k__Bacteria|p__Proteobacteria	874824
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	372665
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	175662
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	96026
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	5804
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	92
k__Bacteria|p__Proteobacteria|c__Oligoflexia	81
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	180
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	224307
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
k__Bacteria|p__Actinobacteria	290531
k__Bacteria|p__Actinobacteria|c__Actinomycetia	252205
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	25639
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	10346
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1594
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	578
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	167
k__Bacteria|p__Firmicutes	8260
k__Bacteria|p__Firmicutes|c__Bacilli	6835
k__Bacteria|p__Firmicutes|c__Clostridia	1330
k__Bacteria|p__Firmicutes|c__Negativicutes	85
k__Bacteria|p__Firmicutes|c__Limnochordia	9
k__Bacteria|p__Deinococcus-Thermus	344
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	344
k__Bacteria|p__Chloroflexi	293
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	29
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	16
k__Bacteria|p__Chloroflexi|c__Tepidiformia	14
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	13
k__Bacteria|p__Chloroflexi|c__Anaerolineae	11
k__Bacteria|p__Chloroflexi|c__Caldilineae	33
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	172
k__Bacteria|p__Chloroflexi|c__Chloroflexia	3
k__Bacteria|p__Armatimonadetes	78
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	65
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	13
k__Bacteria|p__Cyanobacteria	33
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	33
k__Bacteria|p__Tenericutes	32
k__Bacteria|p__Tenericutes|c__Mollicutes	32
k__Bacteria|p__Acidobacteria	62699
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	62599
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	48
k__Bacteria|p__Acidobacteria|c__Blastocatellia	49
k__Bacteria|p__Acidobacteria|c__Holophagae	2
k__Bacteria|p__Bacteroidetes	8236
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	5772
k__Bacteria|p__Bacteroidetes|c__Cytophagia	628
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	895
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	264
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	669
k__Bacteria|p__Bacteroidetes|c__Saprospiria	6
k__Bacteria|p__Rhodothermaeota	40
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	40
k__Bacteria|p__Chlorobi	21
k__Bacteria|p__Chlorobi|c__Chlorobia	21
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	1
k__Bacteria|p__Gemmatimonadetes	260
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	260
k__Bacteria|p__Fibrobacteres	10
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	10
k__Bacteria|p__Planctomycetes	7037
k__Bacteria|p__Planctomycetes|c__Planctomycetia	6792
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	241
k__Bacteria|p__Planctomycetes|c__Candidatus_Brocadiia	3
k__Bacteria|p__Verrucomicrobia	929
k__Bacteria|p__Verrucomicrobia|c__Opitutae	448
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	444
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria	35
k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae	1
k__Bacteria|p__Kiritimatiellaeota	276
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	274
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	2
k__Bacteria|p__Chlamydiae	40
k__Bacteria|p__Chlamydiae|c__Chlamydiia	40
k__Bacteria|p__Nitrospirae	338
k__Bacteria|p__Nitrospirae|c__Nitrospira	337
k__Bacteria|p__Nitrospirae|c__Thermodesulfovibrionia	1
k__Bacteria|p__Spirochaetes	144
k__Bacteria|p__Spirochaetes|c__Spirochaetia	144
k__Bacteria|p__Synergistetes	139
k__Bacteria|p__Synergistetes|c__Synergistia	139
k__Bacteria|p__Candidatus_Saccharibacteria	82
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	82
k__Bacteria|c__Candidatus_Babeliae	4
k__Bacteria|p__Chrysiogenetes	32
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	32
k__Bacteria|p__Coprothermobacterota	24
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria	24
k__Bacteria|p__Fusobacteria	4
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	4
k__Bacteria|p__Deferribacteres	3
k__Bacteria|p__Deferribacteres|c__Deferribacteres	3
k__Bacteria|p__Atribacterota	1
k__Bacteria|p__Atribacterota|c__Atribacteria	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	1
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Calditrichaeota|c__Calditrichia	1
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Elusimicrobia|c__Endomicrobia	1
k__Eukaryota	92972
k__Eukaryota|k__Viridiplantae	65285
k__Eukaryota|k__Viridiplantae|p__Streptophyta	65195
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	40778
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	24416
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	89
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	57
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	32
k__Eukaryota|k__Metazoa	19634
k__Eukaryota|k__Metazoa|p__Chordata	19634
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	19634
k__Eukaryota|k__Fungi	7924
k__Eukaryota|k__Fungi|p__Ascomycota	7704
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	2475
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	1879
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	1093
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1784
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	454
k__Eukaryota|k__Fungi|p__Ascomycota|c__Schizosaccharomycetes	17
k__Eukaryota|k__Fungi|p__Basidiomycota	219
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	114
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	9
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	58
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	37
k__Eukaryota|p__Apicomplexa	63
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	48
k__Eukaryota|p__Apicomplexa|c__Conoidasida	15
k__Eukaryota|p__Bacillariophyta	8
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	6
k__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae	2
k__Eukaryota|p__Cercozoa	1
k__Eukaryota|p__Cercozoa|c__Chlorarachniophyceae	1
k__Eukaryota|p__Evosea	20
k__Eukaryota|p__Evosea|c__Eumycetozoa	20
k__Eukaryota|p__Euglenozoa	15
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	15
k__Eukaryota|c__Cryptophyceae	19
k__Archaea	301
k__Archaea|p__Euryarchaeota	294
k__Archaea|p__Euryarchaeota|c__Halobacteria	259
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	27
k__Archaea|p__Euryarchaeota|c__Methanococci	5
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2
k__Archaea|p__Crenarchaeota	7
k__Archaea|p__Crenarchaeota|c__Thermoprotei	7
k__Viruses	16
k__Viruses|k__Heunggongvirae	8
k__Viruses|k__Heunggongvirae|p__Uroviricota	7
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	7
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	1
k__Viruses|k__Bamfordvirae	7
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	7
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	5
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Pokkesviricetes	2
k__Viruses|c__Naldaviricetes	1
