#Classification	W-3-POLJUN-G_bracken_C.kreport
k__Bacteria	1606978
k__Bacteria|p__Proteobacteria	1278564
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1039164
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	202964
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	35534
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	748
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	96
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	38
k__Bacteria|p__Proteobacteria|c__Oligoflexia	17
k__Bacteria|p__Actinobacteria	272961
k__Bacteria|p__Actinobacteria|c__Actinomycetia	269832
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	769
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	225
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	362
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	35
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1736
k__Bacteria|p__Firmicutes	9306
k__Bacteria|p__Firmicutes|c__Bacilli	9169
k__Bacteria|p__Firmicutes|c__Clostridia	99
k__Bacteria|p__Firmicutes|c__Tissierellia	34
k__Bacteria|p__Firmicutes|c__Limnochordia	1
k__Bacteria|p__Firmicutes|c__Negativicutes	1
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1
k__Bacteria|p__Deinococcus-Thermus	348
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	348
k__Bacteria|p__Chloroflexi	52
k__Bacteria|p__Chloroflexi|c__Chloroflexia	14
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	6
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	6
k__Bacteria|p__Chloroflexi|c__Tepidiformia	3
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	16
k__Bacteria|p__Chloroflexi|c__Anaerolineae	3
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	2
k__Bacteria|p__Chloroflexi|c__Caldilineae	1
k__Bacteria|p__Armatimonadetes	14
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	8
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	6
k__Bacteria|p__Cyanobacteria	13
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	13
k__Bacteria|p__Tenericutes	6
k__Bacteria|p__Tenericutes|c__Mollicutes	6
k__Bacteria|p__Bacteroidetes	24774
k__Bacteria|p__Bacteroidetes|c__Cytophagia	20655
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	3625
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	280
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	147
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	66
k__Bacteria|p__Chlorobi	10
k__Bacteria|p__Chlorobi|c__Chlorobia	10
k__Bacteria|p__Rhodothermaeota	8
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	8
k__Bacteria|p__Ignavibacteriae	2
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	2
k__Bacteria|p__Gemmatimonadetes	32
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	32
k__Bacteria|p__Acidobacteria	19732
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	19717
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	11
k__Bacteria|p__Acidobacteria|c__Blastocatellia	3
k__Bacteria|p__Planctomycetes	808
k__Bacteria|p__Planctomycetes|c__Planctomycetia	801
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	7
k__Bacteria|p__Verrucomicrobia	191
k__Bacteria|p__Verrucomicrobia|c__Opitutae	144
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	47
k__Bacteria|p__Kiritimatiellaeota	31
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	30
k__Bacteria|p__Kiritimatiellaeota|c__Tichowtungiia	1
k__Bacteria|p__Chlamydiae	3
k__Bacteria|p__Chlamydiae|c__Chlamydiia	3
k__Bacteria|p__Spirochaetes	69
k__Bacteria|p__Spirochaetes|c__Spirochaetia	69
k__Bacteria|p__Nitrospirae	35
k__Bacteria|p__Nitrospirae|c__Nitrospira	35
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	3
k__Bacteria|p__Synergistetes	2
k__Bacteria|p__Synergistetes|c__Synergistia	2
k__Bacteria|c__Candidatus_Babeliae	2
k__Bacteria|p__Thermotogae	2
k__Bacteria|p__Thermotogae|c__Thermotogae	2
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Calditrichaeota|c__Calditrichia	1
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Elusimicrobia|c__Endomicrobia	1
k__Eukaryota	158972
k__Eukaryota|k__Viridiplantae	141607
k__Eukaryota|k__Viridiplantae|p__Streptophyta	141531
