#Classification	W-3-POLJUN-G_bracken_P.kreport
k__Bacteria	1607049
k__Bacteria|p__Proteobacteria	1278564
k__Bacteria|p__Actinobacteria	271326
k__Bacteria|p__Cyanobacteria	1658
k__Bacteria|p__Firmicutes	9306
k__Bacteria|p__Deinococcus-Thermus	348
k__Bacteria|p__Chloroflexi	52
k__Bacteria|p__Armatimonadetes	15
k__Bacteria|p__Tenericutes	6
k__Bacteria|p__Bacteroidetes	24774
k__Bacteria|p__Chlorobi	10
k__Bacteria|p__Rhodothermaeota	8
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	32
k__Bacteria|p__Acidobacteria	19792
k__Bacteria|p__Planctomycetes	808
k__Bacteria|p__Verrucomicrobia	191
k__Bacteria|p__Chlamydiae	3
k__Bacteria|p__Kiritimatiellaeota	31
k__Bacteria|p__Spirochaetes	69
k__Bacteria|p__Nitrospirae	27
k__Bacteria|p__Candidatus_Saccharibacteria	10
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Synergistetes	2
k__Bacteria|p__Thermotogae	2
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	158972
k__Eukaryota|k__Viridiplantae	141607
k__Eukaryota|k__Viridiplantae|p__Streptophyta	141531
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	75
k__Eukaryota|k__Metazoa	14883
k__Eukaryota|k__Metazoa|p__Chordata	14883
k__Eukaryota|k__Fungi	2381
k__Eukaryota|k__Fungi|p__Ascomycota	1927
k__Eukaryota|k__Fungi|p__Basidiomycota	453
k__Eukaryota|p__Cercozoa	43
k__Eukaryota|p__Bacillariophyta	37
k__Eukaryota|p__Apicomplexa	19
k__Eukaryota|p__Euglenozoa	1
k__Archaea	59
k__Archaea|p__Euryarchaeota	58
k__Archaea|p__Thaumarchaeota	1
k__Viruses	6
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
