#Classification	S-10-POLJUN-B_bracken_F.kreport
k__Bacteria	31221
k__Bacteria|p__Proteobacteria	20821
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	9326
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	9326
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	9157
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	155
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	14
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6042
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	4758
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	107
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	4651
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	1015
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	674
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	340
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	268
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	268
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	5445
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	4964
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	971
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	3101
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	410
