#Classification	S-25-POLJUN-G_bracken_F.kreport
k__Bacteria	16863
k__Bacteria|p__Proteobacteria	15756
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	14556
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	13734
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	13259
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	452
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bradyrhizobiaceae	13
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Phyllobacteriaceae	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Lichenihabitantaceae	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	821
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	819
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingosinicellaceae	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	836
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	836
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	836
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	364
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	362
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	362
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	1
k__Bacteria|p__Cyanobacteria	852
k__Bacteria|p__Cyanobacteria|o__Nostocales	852
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	764
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	75
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae	12
k__Bacteria|p__Actinobacteria	181
k__Bacteria|p__Actinobacteria|c__Actinomycetia	181
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	67
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	67
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	53
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	53
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	36
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae	36
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	23
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	22
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	1
k__Bacteria|p__Acidobacteria	56
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	56
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	56
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	56
k__Bacteria|p__Bacteroidetes	15
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	13
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	13
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	13
k__Bacteria|p__Bacteroidetes|c__Cytophagia	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	2
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae	2
k__Eukaryota	1620
k__Eukaryota|k__Viridiplantae	1387
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1387
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1387
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	1387
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae	1387
k__Eukaryota|k__Metazoa	233
k__Eukaryota|k__Metazoa|p__Chordata	233
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	233
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	233
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	233
