#Classification	S-26-POLJUN-G_bracken_P.kreport
k__Bacteria	26128
k__Bacteria|p__Proteobacteria	23551
k__Bacteria|p__Cyanobacteria	1622
k__Bacteria|p__Actinobacteria	582
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Firmicutes	158
k__Bacteria|p__Acidobacteria	182
k__Bacteria|p__Bacteroidetes	23
k__Bacteria|p__Planctomycetes	6
k__Eukaryota	1448
k__Eukaryota|k__Viridiplantae	1328
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1328
k__Eukaryota|k__Metazoa	111
k__Eukaryota|k__Metazoa|p__Chordata	111
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	9
