#Classification	S-27-POLPIL-G_bracken_C.kreport
k__Bacteria	10975
k__Bacteria|p__Proteobacteria	10625
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	6959
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2646
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1019
k__Bacteria|p__Actinobacteria	274
k__Bacteria|p__Actinobacteria|c__Actinomycetia	274
k__Bacteria|p__Acidobacteria	70
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	70
k__Bacteria|p__Bacteroidetes	5
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	5
k__Eukaryota	2237
k__Eukaryota|k__Viridiplantae	1822
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1822
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1820
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2
k__Eukaryota|k__Metazoa	410
k__Eukaryota|k__Metazoa|p__Chordata	410
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	410
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	4
