#Classification	S-4-POLCOM-G_bracken_C.kreport
k__Bacteria	15996
k__Bacteria|p__Proteobacteria	14183
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8596
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3604
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1981
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Actinobacteria	930
k__Bacteria|p__Actinobacteria|c__Actinomycetia	930
k__Bacteria|p__Firmicutes	166
k__Bacteria|p__Firmicutes|c__Bacilli	166
k__Bacteria|p__Acidobacteria	556
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	556
k__Bacteria|p__Bacteroidetes	158
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	50
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	96
k__Bacteria|p__Bacteroidetes|c__Cytophagia	12
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1
k__Eukaryota	717
k__Eukaryota|k__Viridiplantae	377
k__Eukaryota|k__Viridiplantae|p__Streptophyta	377
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	356
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	21
k__Eukaryota|k__Metazoa	340
k__Eukaryota|k__Metazoa|p__Chordata	340
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	340
