#Classification	S-4-POLPIL-G_bracken_O.kreport
k__Bacteria	15151
k__Bacteria|p__Proteobacteria	14189
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10294
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	10294
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2970
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1132
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	1824
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	11
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	535
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	347
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	40
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2
k__Bacteria|p__Actinobacteria	395
k__Bacteria|p__Actinobacteria|c__Actinomycetia	395
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	145
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	61
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	187
k__Bacteria|p__Acidobacteria	309
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	309
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	309
k__Bacteria|p__Bacteroidetes	251
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	219
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	219
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	30
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	30
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Planctomycetes|c__Planctomycetia	3
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	3
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	1
k__Eukaryota	2619
k__Eukaryota|k__Viridiplantae	2409
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2409
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	2409
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	2409
k__Eukaryota|k__Fungi	210
k__Eukaryota|k__Fungi|p__Ascomycota	178
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	178
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	178
k__Eukaryota|k__Fungi|p__Basidiomycota	31
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	31
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	31
