#Classification	S-8-DICUND-B_bracken_P.kreport
k__Bacteria	7862
k__Bacteria|p__Actinobacteria	3326
k__Bacteria|p__Cyanobacteria	27
k__Bacteria|p__Firmicutes	125
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Proteobacteria	4094
k__Bacteria|p__Acidobacteria	227
k__Bacteria|p__Planctomycetes	33
k__Bacteria|p__Verrucomicrobia	4
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Bacteroidetes	19
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	1837
k__Eukaryota|k__Metazoa	1613
k__Eukaryota|k__Metazoa|p__Chordata	1613
k__Eukaryota|k__Fungi	2
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|k__Viridiplantae	221
k__Eukaryota|k__Viridiplantae|p__Streptophyta	221
