#Classification	S-9-POLPIL-B_bracken_P.kreport
k__Bacteria	10623
k__Bacteria|p__Proteobacteria	8828
k__Bacteria|p__Actinobacteria	1236
k__Bacteria|p__Cyanobacteria	154
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Acidobacteria	288
k__Bacteria|p__Bacteroidetes	57
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Planctomycetes	55
k__Eukaryota	593
k__Eukaryota|k__Viridiplantae	297
k__Eukaryota|k__Viridiplantae|p__Streptophyta	297
k__Eukaryota|k__Metazoa	253
k__Eukaryota|k__Metazoa|p__Chordata	253
k__Eukaryota|k__Fungi	42
k__Eukaryota|k__Fungi|p__Ascomycota	41
k__Eukaryota|k__Fungi|p__Basidiomycota	1
