#Classification	S-3-POLCOM-G_bracken_C.kreport
k__Bacteria	518295
k__Bacteria|p__Proteobacteria	346604
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	189034
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	87236
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	69069
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1172
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	49
k__Bacteria|p__Proteobacteria|c__Oligoflexia	28
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	3
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	8
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	1
k__Bacteria|p__Actinobacteria	108547
k__Bacteria|p__Actinobacteria|c__Actinomycetia	102885
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2375
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	1183
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	334
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	454
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	1314
k__Bacteria|p__Firmicutes	38519
k__Bacteria|p__Firmicutes|c__Bacilli	38232
k__Bacteria|p__Firmicutes|c__Clostridia	253
k__Bacteria|p__Firmicutes|c__Negativicutes	8
k__Bacteria|p__Firmicutes|c__Tissierellia	7
k__Bacteria|p__Firmicutes|c__Limnochordia	2
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	14
k__Bacteria|p__Deinococcus-Thermus	67
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	67
k__Bacteria|p__Tenericutes	63
k__Bacteria|p__Tenericutes|c__Mollicutes	63
k__Bacteria|p__Cyanobacteria	62
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	62
k__Bacteria|p__Chloroflexi	23
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	7
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	6
k__Bacteria|p__Chloroflexi|c__Chloroflexia	4
k__Bacteria|p__Chloroflexi|c__Caldilineae	3
k__Bacteria|p__Chloroflexi|c__Anaerolineae	2
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	1
k__Bacteria|p__Armatimonadetes	17
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	9
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	8
k__Bacteria|p__Acidobacteria	18082
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	18063
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	12
