#Classification	S-4-POLCOM-B_bracken_P.kreport
k__Bacteria	1391293
k__Bacteria|p__Proteobacteria	978602
k__Bacteria|p__Actinobacteria	218859
k__Bacteria|p__Cyanobacteria	25263
k__Bacteria|p__Firmicutes	6670
k__Bacteria|p__Armatimonadetes	39
k__Bacteria|p__Deinococcus-Thermus	38
k__Bacteria|p__Chloroflexi	17
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Acidobacteria	108904
k__Bacteria|p__Bacteroidetes	46309
k__Bacteria|p__Rhodothermaeota	92
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	60
k__Bacteria|p__Planctomycetes	4273
k__Bacteria|p__Verrucomicrobia	1858
k__Bacteria|p__Chlamydiae	67
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Candidatus_Saccharibacteria	74
k__Bacteria|p__Spirochaetes	149
k__Bacteria|p__Deferribacteres	3
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Thermotogae	1
k__Eukaryota	9462
k__Eukaryota|k__Fungi	3822
k__Eukaryota|k__Fungi|p__Ascomycota	3029
k__Eukaryota|k__Fungi|p__Basidiomycota	792
k__Eukaryota|k__Metazoa	3163
k__Eukaryota|k__Metazoa|p__Chordata	3163
k__Eukaryota|k__Viridiplantae	2451
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2382
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	68
k__Eukaryota|p__Euglenozoa	22
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Cercozoa	1
k__Archaea	14
k__Archaea|p__Euryarchaeota	14
k__Viruses	24
k__Viruses|k__Heunggongvirae	22
k__Viruses|k__Heunggongvirae|p__Uroviricota	22
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
