#Classification	S-8-DICUND-G_bracken_C.kreport
k__Bacteria	474070
k__Bacteria|p__Proteobacteria	328292
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	162026
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	110331
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	52278
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3605
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Oligoflexia	48
k__Bacteria|p__Actinobacteria	101329
k__Bacteria|p__Actinobacteria|c__Actinomycetia	87433
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	10831
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2677
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	359
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	6
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	21
k__Bacteria|p__Firmicutes	10356
k__Bacteria|p__Firmicutes|c__Bacilli	9962
k__Bacteria|p__Firmicutes|c__Clostridia	119
k__Bacteria|p__Firmicutes|c__Tissierellia	179
k__Bacteria|p__Firmicutes|c__Negativicutes	3
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	91
k__Bacteria|p__Armatimonadetes	87
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	66
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	21
k__Bacteria|p__Deinococcus-Thermus	34
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	34
k__Bacteria|p__Chloroflexi	18
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	14
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	2
k__Bacteria|p__Chloroflexi|c__Anaerolineae	1
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	1
k__Bacteria|p__Acidobacteria	21986
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	21973
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	13
k__Bacteria|p__Bacteroidetes	7961
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	6467
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1079
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	246
k__Bacteria|p__Bacteroidetes|c__Cytophagia	147
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	19
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Chlorobi|c__Chlorobia	1
k__Bacteria|p__Gemmatimonadetes	31
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	31
k__Bacteria|p__Planctomycetes	3022
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2887
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	134
k__Bacteria|p__Verrucomicrobia	584
k__Bacteria|p__Verrucomicrobia|c__Opitutae	376
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	170
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria	37
k__Bacteria|p__Kiritimatiellaeota	255
k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae	255
k__Bacteria|p__Chlamydiae	60
k__Bacteria|p__Chlamydiae|c__Chlamydiia	60
k__Bacteria|c__Candidatus_Babeliae	24
k__Bacteria|p__Candidatus_Saccharibacteria	21
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	21
k__Bacteria|p__Deferribacteres	1
k__Bacteria|p__Deferribacteres|c__Deferribacteres	1
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1
k__Eukaryota	36383
k__Eukaryota|k__Viridiplantae	28266
k__Eukaryota|k__Viridiplantae|p__Streptophyta	28242
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	23099
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	5143
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	23
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	20
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	2
k__Eukaryota|k__Metazoa	5674
k__Eukaryota|k__Metazoa|p__Chordata	5674
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	5674
k__Eukaryota|k__Fungi	2412
k__Eukaryota|k__Fungi|p__Ascomycota	1934
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	591
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	441
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	205
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	664
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	31
k__Eukaryota|k__Fungi|p__Basidiomycota	477
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	476
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	1
k__Eukaryota|p__Euglenozoa	16
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	16
k__Eukaryota|p__Evosea	9
k__Eukaryota|p__Evosea|c__Eumycetozoa	9
k__Eukaryota|p__Apicomplexa	4
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	4
k__Archaea	8
k__Archaea|p__Euryarchaeota	8
k__Archaea|p__Euryarchaeota|c__Halobacteria	7
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	1
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	4
