#Classification	S-9-POLCOM-G_bracken_O.kreport
k__Bacteria	651648
k__Bacteria|p__Proteobacteria	513438
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	229737
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	129822
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	80252
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	14955
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3507
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1136
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	45
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	152714
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	152434
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	111
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	82
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	85
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	130343
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	93753
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	23038
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	12045
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	748
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	50
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	61
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	228
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	286
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	82
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	1
