#Classification	W-3-POLJUN-G_bracken_O.kreport
k__Bacteria	1179803
k__Bacteria|p__Proteobacteria	918037
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	725536
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	423337
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	290694
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	9383
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1794
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	322
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	177181
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	158246
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	18320
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	504
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	61
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	3
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	15184
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	15052
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	87
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	36
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	8
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	120
