#Classification	W-3-POLJUN-G_bracken_P.kreport
k__Bacteria	1179850
k__Bacteria|p__Proteobacteria	918037
k__Bacteria|p__Actinobacteria	223001
k__Bacteria|p__Cyanobacteria	581
k__Bacteria|p__Deinococcus-Thermus	124
k__Bacteria|p__Firmicutes	11409
k__Bacteria|p__Chloroflexi	4
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Bacteroidetes	15077
k__Bacteria|p__Gemmatimonadetes	10
k__Bacteria|p__Acidobacteria	11217
k__Bacteria|p__Planctomycetes	263
k__Bacteria|p__Verrucomicrobia	80
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Bacteria|p__Spirochaetes	31
k__Bacteria|p__Nitrospirae	1
k__Eukaryota	86197
k__Eukaryota|k__Viridiplantae	81631
k__Eukaryota|k__Viridiplantae|p__Streptophyta	81627
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	3
k__Eukaryota|k__Metazoa	3911
k__Eukaryota|k__Metazoa|p__Chordata	3911
k__Eukaryota|k__Fungi	648
k__Eukaryota|k__Fungi|p__Ascomycota	473
k__Eukaryota|k__Fungi|p__Basidiomycota	175
k__Eukaryota|p__Cercozoa	3
k__Eukaryota|p__Bacillariophyta	3
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
