name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp009766005	120549	S	2299	27605	29904	0.01477
Bradyrhizobium sp018449695	120574	S	1617	15973	17590	0.00869
Bradyrhizobium erythrophlei_C	120445	S	615	6513	7128	0.00352
Bradyrhizobium erythrophlei_B	120444	S	310	2700	3010	0.00149
Bradyrhizobium sp021779635	120589	S	274	37741	38015	0.01877
Bradyrhizobium sp000938305	120524	S	132	2147	2279	0.00113
Bradyrhizobium canariense_A	120419	S	109	1062	1171	0.00058
Bradyrhizobium sp004799405	120542	S	83	1034	1117	0.00055
Bradyrhizobium sp028290305	120629	S	77	486	563	0.00028
Bradyrhizobium erythrophlei_D	120446	S	45	649	694	0.00034
Bradyrhizobium ottawaense_A	120495	S	41	1094	1135	0.00056
Bradyrhizobium erythrophlei_A	120443	S	39	1228	1267	0.00063
Bradyrhizobium sp004799445	120543	S	37	552	589	0.00029
Bradyrhizobium sp028290765	120630	S	35	197	232	0.00011
Bradyrhizobium sp902826195	120663	S	30	634	664	0.00033
Bradyrhizobium lablabi_A	120472	S	29	255	284	0.00014
Bradyrhizobium sp018971625	120577	S	28	199	227	0.00011
Bradyrhizobium sp018449525	120573	S	26	347	373	0.00018
Bradyrhizobium sp000938255	120523	S	24	687	711	0.00035
Bradyrhizobium sp900103365	120657	S	24	568	592	0.00029
Bradyrhizobium sp031202265	120656	S	23	860	883	0.00044
Bradyrhizobium sp018971675	120578	S	22	913	935	0.00046
Bradyrhizobium sp027307225	120624	S	22	139	161	0.00008
Bradyrhizobium sp000701345	120522	S	18	164	182	0.00009
Bradyrhizobium sp028290165	120628	S	17	168	185	0.00009
Bradyrhizobium sp029846715	120641	S	12	779	791	0.00039
Bradyrhizobium sp017881085	120564	S	12	904	916	0.00045
Bradyrhizobium sp015624485	120559	S	12	345	357	0.00018
Bradyrhizobium sp023101685	120607	S	11	527	538	0.00027
Bradyrhizobium sp005884465	120544	S	11	415	426	0.00021
Bradyrhizobium sp019748335	120583	S	11	1196	1207	0.00060
Bradyrhizobium sp029892425	120642	S	10	593	603	0.00030
Bradyrhizobium sp027451485	120625	S	10	250	260	0.00013
