name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp009766005	120549	S	1857	18223	20080	0.00666
Bradyrhizobium sp018449695	120574	S	435	3466	3901	0.00129
Bradyrhizobium sp021779635	120589	S	385	37544	37929	0.01258
Bradyrhizobium erythrophlei_B	120444	S	276	1694	1970	0.00065
Bradyrhizobium sp028290305	120629	S	122	596	718	0.00024
Bradyrhizobium canariense_A	120419	S	83	659	742	0.00025
Bradyrhizobium ottawaense_A	120495	S	76	1892	1968	0.00065
Bradyrhizobium erythrophlei_C	120445	S	62	528	590	0.00020
Bradyrhizobium sp900103365	120657	S	58	1259	1317	0.00044
Bradyrhizobium erythrophlei_D	120446	S	50	570	620	0.00021
Bradyrhizobium sp017305715	120563	S	34	683	717	0.00024
Bradyrhizobium sp000938305	120524	S	34	484	518	0.00017
Bradyrhizobium lablabi_A	120472	S	29	208	237	0.00008
Bradyrhizobium sp000938255	120523	S	26	694	720	0.00024
Bradyrhizobium erythrophlei_A	120443	S	24	735	759	0.00025
Bradyrhizobium sp005937885	120548	S	24	540	564	0.00019
Bradyrhizobium sp019748335	120583	S	23	1979	2002	0.00066
Bradyrhizobium sp902826195	120663	S	22	405	427	0.00014
Bradyrhizobium sp004799445	120543	S	20	229	249	0.00008
Bradyrhizobium sp004799405	120542	S	20	202	222	0.00007
Bradyrhizobium sp028290165	120628	S	18	76	94	0.00003
Bradyrhizobium elkanii_A	120441	S	17	553	570	0.00019
Bradyrhizobium sp027307225	120624	S	15	78	93	0.00003
Bradyrhizobium sp031202265	120656	S	14	500	514	0.00017
Bradyrhizobium sp018449525	120573	S	14	142	156	0.00005
Bradyrhizobium sp027451485	120625	S	13	219	232	0.00008
Bradyrhizobium rifense	120500	S	11	516	527	0.00017
Bradyrhizobium sp000701345	120522	S	11	78	89	0.00003
Bradyrhizobium sp028290765	120630	S	10	43	53	0.00002
Bradyrhizobium sp029051685	120633	S	9	703	712	0.00024
Bradyrhizobium sp030378205	120648	S	8	107	115	0.00004
Bradyrhizobium sp023073415	120595	S	8	404	412	0.00014
Bradyrhizobium sp025960445	120622	S	7	168	175	0.00006
Bradyrhizobium sp018130145	120566	S	7	522	529	0.00018
Bradyrhizobium sp029846715	120641	S	7	446	453	0.00015
Bradyrhizobium sp023100945	120604	S	7	252	259	0.00009
Bradyrhizobium sp030693485	120654	S	7	273	280	0.00009
Bradyrhizobium stylosanthis	120667	S	6	328	334	0.00011
Bradyrhizobium sp003020075	120535	S	6	1228	1234	0.00041
Bradyrhizobium betae_A	120414	S	6	267	273	0.00009
Bradyrhizobium sp019242285	120579	S	6	50	56	0.00002
Bradyrhizobium sp018971625	120577	S	6	40	46	0.00002
Bradyrhizobium cenepequi	120422	S	6	67	73	0.00002
Bradyrhizobium sp001464035	120525	S	6	74	80	0.00003
Bradyrhizobium sp017881085	120564	S	6	252	258	0.00009
Bradyrhizobium sp030403585	120649	S	5	214	219	0.00007
Bradyrhizobium sp015624485	120559	S	5	129	134	0.00004
Bradyrhizobium sp013695565	120553	S	5	111	116	0.00004
